evidence_id,figure,claimed_origin,hop1,hop2,hop3,origin_reached,origin_type,circular_verdict,shared_origin_group,notes
E-1024,LOA_small_molecule_NME=5.7 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://go.bio.org/rs/490-EHZ-999/images/ClinicalDevelopmentSuccessRates2011_2020.pdf,https://www.readkong.com/page/clinical-development-success-rates-and-contributing-factors-6942827,,yes,peer_reviewed,clean,SOG-008,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1025,total_clinical_plus_review_duration=10.5 years,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://go.bio.org/rs/490-EHZ-999/images/ClinicalDevelopmentSuccessRates2011_2020.pdf,https://www.readkong.com/page/clinical-development-success-rates-and-contributing-factors-6942827,,yes,peer_reviewed,clean,SOG-008,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1026,phase1_likelihood_of_approval_2014_2023=6.7 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://www.norstella.com/insight/why-are-clinical-development-success-rates-falling/,,,yes,peer_reviewed,clean,,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1027,overall_success_rate_2015_2023=5.5 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://pmc.ncbi.nlm.nih.gov/articles/PMC12572394/,,,yes,peer_reviewed,clean,,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1028,overall_success_rate_2006_2015_BIO=9.6 percent,Knowledge Portal compilation citing Thomas 2016 and Pammolli 2020,https://www.knowledgeportalia.org/r-d-time-and-success-rate,,,no,aggregator,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-1029,total_time_clinical_testing_to_approval=8.0 years,DiMasi 2016 clinical phase durations; Sertkaya 2024 ASPE model; Brown 2022 development-time analysis,http://sumry.s3.amazonaws.com/uc/2fac1bce9cd34affe633abcd2f33546b_FDAApprovalandRegulationofPharmaceuticals198320181.14.2020.pdf,https://jamanetwork.com/journals/jama/article-abstract/2758605,,yes,peer_reviewed,clean,SOG-009,"ANCHOR 3 (development duration). Three independent origins reached. The commonly repeated 10-15 year figure is UNFAITHFUL to all three: the measured intervals are 128 months synthesis-to-approval (DiMasi), 147 months (Sertkaya) and 9.1 years clinical (Brown). The 10-15 year band is a rounded-up trade convention with no single source."
E-1030,mean_annual_new_drug_approvals_2010_2018=41.0 count_per_year,"Darrow JJ, Avorn J, Kesselheim AS",http://sumry.s3.amazonaws.com/uc/2fac1bce9cd34affe633abcd2f33546b_FDAApprovalandRegulationofPharmaceuticals198320181.14.2020.pdf,https://jamanetwork.com/journals/jama/article-abstract/2758605,,yes,peer_reviewed,clean,SOG-009,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 2 hop(s).
E-1031,share_of_2018_approvals_using_expedited_programme=81.0 percent,"Darrow JJ, Avorn J, Kesselheim AS",http://sumry.s3.amazonaws.com/uc/2fac1bce9cd34affe633abcd2f33546b_FDAApprovalandRegulationofPharmaceuticals198320181.14.2020.pdf,https://jamanetwork.com/journals/jama/article-abstract/2758605,,yes,peer_reviewed,clean,SOG-009,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 2 hop(s).
E-1032,median_approval_time_FDA_2024=356.0 days,CIRS Ltd,https://cirsci.org/wp-content/uploads/dlm_uploads/2025/08/CIRS-RD-Briefing-101-v1.1.pdf,,,no,consultancy,unverifiable,,Tier 2. All hops terminate in consultancy material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-1033,NAS_approvals_FDA_2024=56.0 count,CIRS Ltd,https://cirsci.org/wp-content/uploads/dlm_uploads/2025/08/CIRS-RD-Briefing-101-v1.1.pdf,,,no,consultancy,unverifiable,SOG-017,Tier 2. All hops terminate in consultancy material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-1034,EMA_company_response_share_of_total_2024=30.0 percent,CIRS Ltd,https://cirsci.org/wp-content/uploads/dlm_uploads/2025/08/CIRS-RD-Briefing-101-v1.1.pdf,,,no,consultancy,unverifiable,SOG-017,Tier 2. All hops terminate in consultancy material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-1035,median_FDA_review_time_orphan=244.0 days,authors per article record,https://pmc.ncbi.nlm.nih.gov/articles/PMC11188924/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-1036,mean_phase2_to_phase3_white_space=17.0 months,Tufts CSDD (reported),https://www.appliedclinicaltrialsonline.com/view/characterizing-white-space-in-the-quest-to-drive-development-speed,https://www.clinicaltrialsarena.com/sponsored/white-space-protocol-design-drug-development/,,no,trade_press,unverifiable,,Tier 2. All hops terminate in trade_press material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-1037,mean_clinical_cycle_time_2024=100.0 months,Citeline / sponsor,https://www.clinicaltrialsarena.com/sponsored/white-space-protocol-design-drug-development/,,,no,trade_press,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-1038,US_novel_drug_approvals_2024=50.0 count,US Food and Drug Administration; processed by Our World in Data,https://ourworldindata.org/grapher/new-drugs-approved-in-the-united-states-by-designations.csv?v=1&csvType=full,https://ourworldindata.org/grapher/new-drugs-approved-in-the-united-states,,no,aggregator,unverifiable,,Tier 4. No resolvable provenance chain (aggregator). FORCE_LOW.
E-1039,US_all_new_drug_and_biologic_approvals_2024=62.0 count,"US FDA (CDER and CBER, incl. Purple Book); processed by Our World in Data",https://ourworldindata.org/grapher/new-drugs-approved-in-the-united-states.csv?v=1&csvType=full&useColumnShortNames=true,https://ourworldindata.org/grapher/new-drugs-approved-in-the-united-states,,no,aggregator,unverifiable,,Tier 4. No resolvable provenance chain (aggregator). FORCE_LOW.
E-1040,CDER_novel_drug_approvals_2025=46.0 count,FDA Center for Drug Evaluation and Research,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,,,yes,agency,clean,SOG-018,"Tier 3. Deepest hop resolves to a agency source; origin reached in 1 hop(s). Cross-agent recurrence: this source is cited by more than one agent, so any defect propagates."
E-1041,PhRMA_member_total_RnD_2022=100845.2 USD_million_nominal,Pharmaceutical Research and Manufacturers of America,https://cdn.aglty.io/phrma/global/resources/import/pdfs/PhRMA_membership%20survey_single%20page_70523_es_digital.pdf,,,no,aggregator,unverifiable,,Tier 4. No resolvable provenance chain (aggregator). FORCE_LOW.
E-1042,prehuman_preclinical_share_of_member_RnD_2022=15.9 percent,PhRMA,https://cdn.aglty.io/phrma/global/resources/import/pdfs/PhRMA_membership%20survey_single%20page_70523_es_digital.pdf,,,no,aggregator,unverifiable,,Tier 4. No resolvable provenance chain (aggregator). FORCE_LOW.
E-1043,RnD_as_share_of_total_sales_2022=19.1 percent,PhRMA,https://cdn.aglty.io/phrma/global/resources/import/pdfs/PhRMA_membership%20survey_single%20page_70523_es_digital.pdf,,,no,aggregator,unverifiable,,Tier 4. No resolvable provenance chain (aggregator). FORCE_LOW.
E-1045,estimated_cost_per_cell_or_gene_therapy_approval=1943.0 USD_million,"Sabatini MT, Chalmers M",https://link.springer.com/article/10.1007/s40290-023-00480-0,,,partial,peer_reviewed,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-1046,CAR_T_manufacturing_cost_of_goods_per_dose=95780.0 USD,Insights Publisher,https://www.insights.bio/immuno-oncology-insights/journal/article/1628/cost-analysis-of-vein-to-vein-car-t-cell-therapy-automated-manufacturing-and-supply-chain,https://ascopubs.org/doi/10.1200/EDBK_397912,,partial,peer_reviewed,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-1047,AAV_cGMP_200L_batch_cost=2.0 USD_million,industry authors,https://www.americanpharmaceuticalreview.com/Featured-Articles/574644-Platform-Development-in-AAV-Manufacturing-Cost-and-Timeline-Impact-on-Clinical-Development/,https://bataviabiosciences.com/driving-down-cogs/,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-1048,IND_enabling_package_cost_small_molecule=4500.0 USD_thousand,contract research organisation guidance,https://regfo.com/blog/ind-enabling-studies-timeline-cost-guide,https://www.criver.com/insights/your-guide-ind-enabling-study-needs,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-1049,NMPA_new_drug_applications_approved_2024=228.0 count,China National Medical Products Administration,https://ascpt.onlinelibrary.wiley.com/doi/10.1002/cpt.70084,https://www.nature.com/articles/d41573-025-00028-8,,partial,peer_reviewed,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-1050,PMDA_NAS_approvals_2024=53.0 count,CIRS Ltd; Pharmaceuticals and Medical Devices Agency,https://cirsci.org/wp-content/uploads/dlm_uploads/2025/08/CIRS-RD-Briefing-101-v1.1.pdf,https://www.pmda.go.jp/files/000274881.pdf,,yes,agency,clean,,Tier 2. Deepest hop resolves to a agency source; origin reached in 2 hop(s).
E-1051,MFDS_target_total_approval_timeline=295.0 days,Korea Ministry of Food and Drug Safety,https://www.fdcell.com/news/south-korea-mfds-launches-240-day-drug-approval-reform.html,https://www.mfds.go.kr/eng/brd/m_19/view.do?seq=70440,,partial,agency,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-1052,per_study_phase3_cost_range_high=52.9 USD_million,"Sertkaya A, Wong HH, Jessup A, Beleche T (Eastern Research Group for ASPE)",https://aspe.hhs.gov/reports/examination-clinical-trial-costs-barriers-drug-development-0,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-1053,novel_CGT_approvals_2024=8.0 count,industry trade analysis of FDA actions,https://www.cellandgene.com/doc/cell-gene-therapies-will-represent-a-continuation-of-fda-s-developments-0001,,,no,trade_press,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-1090,preIND_share_of_capitalized_cost_DiMasi2016=42.9 percent,"DiMasi/Grabowski/Hansen 2016, J Health Econ 47:20-33",derived,,,partial,peer_reviewed,unverifiable,SOG-004,"ANCHOR 1 (capitalized cost per approved drug). Hop chain reaches the paper record but not its inputs: the 106-compound sample is a confidential 10-firm survey that cannot be re-derived by any third party. The number as commonly repeated (2.6bn / 2.9bn) is FAITHFUL to the origin in value but UNFAITHFUL in framing, because it is routinely quoted without the capitalized basis and 10.5 percent discount rate that produce it. Independent reanalyses reach 985m (Wouters, SEC filings) and 59.4m (Light & Warburton, net of tax relief) from overlapping inputs. FORCE_LOW on the survey-derived per-stage split."
E-1091,preIND_share_of_out_of_pocket_cost_DiMasi2016=30.8 percent,"DiMasi/Grabowski/Hansen 2016, J Health Econ 47:20-33",derived,,,partial,peer_reviewed,unverifiable,SOG-004,"ANCHOR 1 (capitalized cost per approved drug). Hop chain reaches the paper record but not its inputs: the 106-compound sample is a confidential 10-firm survey that cannot be re-derived by any third party. The number as commonly repeated (2.6bn / 2.9bn) is FAITHFUL to the origin in value but UNFAITHFUL in framing, because it is routinely quoted without the capitalized basis and 10.5 percent discount rate that produce it. Independent reanalyses reach 985m (Wouters, SEC filings) and 59.4m (Light & Warburton, net of tax relief) from overlapping inputs. FORCE_LOW on the survey-derived per-stage split."
E-1092,preIND_share_of_cost_range_capitalized=41.6 percent,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,"Tier 4. Derived record: origin is its own input evidence IDs E-1090,E-1091,E-1013,E-1007,E-1042. Formula stated."
E-1093,preIND_share_of_elapsed_time=24.4 percent,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,"Tier 4. Derived record: origin is its own input evidence IDs E-1005,E-1014,E-1017. Formula stated."
E-1094,amdahl_ceiling_time_reduction_if_discovery_is_free=24.4 percent,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,"Tier 4. Derived record: origin is its own input evidence IDs E-1093,E-1090,E-1013,E-1091. Formula stated."
E-1095,review_share_of_total_elapsed_time=12.5 percent,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,"Tier 4. Derived record: origin is its own input evidence IDs E-1005,E-1014,E-1029,E-1032. Formula stated."
E-1096,cumulative_PoS_from_phase2_BIO=15.1 percent,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,Tier 4. Derived record: origin is its own input evidence IDs E-1023. Formula stated.
E-1097,cumulative_PoS_from_target_selection_Paul2010=4.1 percent,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,Tier 4. Derived record: origin is its own input evidence IDs E-1018. Formula stated.
E-1098,approvals_per_billion_USD_PhRMA_RnD_2022=0.37 count_per_USD_billion_nominal,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,"Tier 4. Derived record: origin is its own input evidence IDs E-1038,E-1041,E-1044. Formula stated."
E-1099,prehuman_share_of_categorised_RnD_2022=19.9 percent,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,Tier 4. Derived record: origin is its own input evidence IDs E-1042. Formula stated.
E-1100,total_synthesis_to_approval_duration=13.1 years,RLSX Agent A,derived,,,yes,derived,clean,SOG-004,"Tier 4. Derived record: origin is its own input evidence IDs E-1005,E-1025,E-1036. Formula stated."
E-2001,article_id=104009 article number,"Jayatunga MKP et al., Drug Discovery Today 29(6):104009, June 2024",https://ouci.dntb.gov.ua/en/works/96nDjjJ9/,https://www.sciencedirect.com/science/article/pii/S135964462400134X,,partial,peer_reviewed,unverifiable,SOG-010,"ANCHOR 4 (AI Phase I 80-90 percent). Origin located and dated, but paywalled with no OA deposit; the Phase I denominator, Phase II denominator, company list and operational definition of AI-discovered are all undisclosed at origin. All five authors are Boston Consulting Group and the work was funded by BCG - S4 applies at origin, not merely in relay. Cross-agent: Agents B and C independently imported the same unresolvable origin. The number as repeated is FAITHFUL in value and UNFAITHFUL in use, because it is quoted as a success rate without its denominator. FORCE_LOW."
E-2003,phase2_success_rate=40.0 %,"Jayatunga MKP et al., Drug Discovery Today 29(6):104009, June 2024",https://www.sciencedirect.com/science/article/pii/S135964462400134X,,,partial,peer_reviewed,unverifiable,SOG-010,"ANCHOR 4 (AI Phase I 80-90 percent). Origin located and dated, but paywalled with no OA deposit; the Phase I denominator, Phase II denominator, company list and operational definition of AI-discovered are all undisclosed at origin. All five authors are Boston Consulting Group and the work was funded by BCG - S4 applies at origin, not merely in relay. Cross-agent: Agents B and C independently imported the same unresolvable origin. The number as repeated is FAITHFUL in value and UNFAITHFUL in use, because it is quoted as a success rate without its denominator. FORCE_LOW."
E-2004,molecules_tracked=73.0 count,"Jayatunga MKP et al., Drug Discovery Today 29(6):104009, June 2024",https://askme.it/en/insights/ai-drug-discovery-in-2026-between-promise-and-production/,https://www.sciencedirect.com/science/article/pii/S135964462400134X,,partial,peer_reviewed,unverifiable,,"ANCHOR 4 (AI Phase I 80-90 percent). Origin located and dated, but paywalled with no OA deposit; the Phase I denominator, Phase II denominator, company list and operational definition of AI-discovered are all undisclosed at origin. All five authors are Boston Consulting Group and the work was funded by BCG - S4 applies at origin, not merely in relay. Cross-agent: Agents B and C independently imported the same unresolvable origin. The number as repeated is FAITHFUL in value and UNFAITHFUL in use, because it is quoted as a success rate without its denominator. FORCE_LOW."
E-2007,documented_clinical_outcomes_n=9.0 count,Sarfaraz K. Niazi,https://pmc.ncbi.nlm.nih.gov/articles/PMC12472608/,,,yes,peer_reviewed,clean,SOG-011,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-2008,time_to_preclinical_candidate=18.0 months,Sarfaraz K. Niazi,https://pmc.ncbi.nlm.nih.gov/articles/PMC12472608/,,,yes,peer_reviewed,clean,SOG-011,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-2011,phase2_conventional_benchmark=37.0 %,humai.blog,https://www.humai.blog/ai-discovered-drugs-reach-phase-iii-and-2026-will-determine-whether-all-the-promises-were-real/,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-2012,prospective_hit_rate_AF2_sigma2=54.0 %,Jiankun Lyu; Nicholas Kapolka; Ryan Gumpper; B.K. Shoichet; B.L. Roth; et al.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11253030/,https://www.science.org/doi/10.1126/science.adn6354,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 2 hop(s).
E-2015,enrichment_factor_top5pct_AF2=1.82 fold,Nada K. Alhumaid; Essam A. Tawfik,https://pmc.ncbi.nlm.nih.gov/articles/PMC11432040/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-2016,enrichment_factor_top1pct_AF2=13.16 fold,(JCIM authors; figures retrieved via search index),https://pubs.acs.org/doi/10.1021/acs.jcim.2c01219,,,partial,peer_reviewed,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-2017,conformational_change_threshold=5.0 angstrom RMSD,(bioRxiv authors),https://www.biorxiv.org/content/10.1101/2025.04.07.647682v1.full,https://www.drugdiscoverynews.com/alphafold-in-drug-discovery-what-protein-structure-prediction-has-and-hasn-t-changed-17348,,no,trade_press,unverifiable,,Tier 4. All hops terminate in trade_press material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
