agent,item,queries_tried,failure_reason,alt_sources_tried,best_estimate,best_estimate_basis
A,Between-phase white space from Phase I to Phase II,WebSearch 'white space between clinical trial phases drug development cycle time gap Phase I to Phase II start months Tufts CSDD analysis'; WebFetch appliedclinicaltrialsonline.com white space article; WebFetch clinicaltrialsarena.com white space article,The Applied Clinical Trials page returned HTTP 403. The recoverable Tufts CSDD result states directly that the Phase I to Phase II transition time could not be reliably measured because of wide variation in the early-stage activity supporting development programmes.,"1) Applied Clinical Trials article (403; content recovered via search result text). 2) Clinical Trials Arena sponsored article (recovered). 3) Tufts CSDD whitepapers index (no matching open document). 4) BIO 2011-2020 report inter-phase intervals (recovered, and these already contain white space).","The Phase II to Phase III white space is 17 months on average for the 82 percent of non-expedited programmes that have any (E-1036). For Phase I to Phase II, the best available bound is the difference between the BIO mean inter-phase interval of 2.3 years and the Wong/Siah/Lo median Phase 1 trial duration of 1.6 years, which implies roughly 8 months of non-trial time.","That 8-month implied gap mixes two different sources and two different central tendencies (mean interval versus median duration), so it is stated here as a bound rather than entered in the evidence ledger as a measurement. The measured Phase II to Phase III value of 17 months is the one carried into the CSV."
A,Sertkaya 2024 Phase 4 mean cost as a single figure,"WebSearch 'Sertkaya 2024 JAMA Network Open Costs of Drug Development and Research and Development Intensity in the US, 2000-2018'; WebFetch pmc.ncbi.nlm.nih.gov/articles/PMC11214120; WebFetch aspe.hhs.gov drug-development.pdf; WebFetch aspe.hhs.gov clinical trial costs report page",The PMC full text yielded every other Table 1 value but the Phase 4 cost cell did not come through the extraction. Both ASPE-hosted source documents returned HTTP 403.,1) PMC full text (all other Table 1 values recovered). 2) ASPE drug-development.pdf (403). 3) ASPE examination-of-clinical-trial-costs report page (403). 4) JAMA Network article page (not fetched; publisher wall). 5) Sertkaya 2016 Clinical Trials paper via search (per-study Phase 2 and Phase 3 ranges recovered).,"The Phase 4 duration is established at 36.6 months (E-1014). For Phase 4 cost the best anchor is PhRMA's 2022 functional split, where Phase IV absorbs 11,597.6 USD million, or 11.5 percent of member R&D, which exceeds both Phase I (8.5 percent) and Phase II (11.1 percent).","The PhRMA figure is a different construct (one year of industry-wide outlay rather than per-approval cost) and the CSV labels it as such. It is nonetheless the more decision-relevant number for the S9 stage, because it measures how much cash the post-approval stage actually consumes rather than how much a model allocates to it."
B,Jayatunga et al. 2024 Phase I denominator (n of molecules on which the 80-90% rate is computed),(1) 'Jayatunga Drug Discovery Today AI-discovered molecules Phase I success rate 80-90% clinical'; (2) 'Jayatunga 2024 Drug Discovery Today AI-discovered molecules Phase I n=24 Phase II n=10 sample size companies'; (3) 'Jayatunga Ayers Bruens 104009 abstract AI-discovered 2024 pipeline analysis phase I 80-90% 24 molecules'; (4) 'BCG Jayatunga AI-discovered molecules clinical success analysis Wellcome methodology definition'; (5) 'AI-discovered molecules clinical Phase II success rate n= Jayatunga limitations small sample industry baseline comparison critique 2025',"The article is behind the Elsevier paywall. WebFetch of the ScienceDirect page returned HTTP 403. No open-access full text, preprint, PMC deposit or author copy was located; every accessible source repeats the 80-90% figure without the denominator.","(a) sciencedirect.com/science/article/pii/S135964462400134X - HTTP 403; (b) europepmc.org/article/MED/38723763 - navigation shell only, no record content; (c) ouci.dntb.gov.ua/en/works/96nDjjJ9/ - bibliographic metadata only (authors, DOI, journal), no abstract; (d) quantumbiospace.ai secondary summary - reports 80-90% and 40% with denominators explicitly absent; (e) pmc.ncbi.nlm.nih.gov/articles/PMC12472608 (Niazi 2025 critical review) - does not cite the paper; (f) frontiersin.org 10.3389/fphar.2026.1870527 - cites the figures, not the n; (g) nature.com/articles/s41573-026-01496-2 (Bender et al. 2026) mirror - cites the paper as ref 10 without reproducing percentages or n",n between 21 and 30 molecules for the Phase I denominator,"The BCG/Wellcome tracking set contained ~73-75 AI-derived molecules in clinical pipelines as of 2023 [E-2004]. An independent count of 8 leading AI companies found 31 molecules in trials in April 2024 [E-2071]. Of ~75 tracked molecules, most were still in Phase I and had not reached a Phase I decision point; the subset with a resolved Phase I outcome is therefore a minority. A widely repeated secondary figure describes '24 AI-discovered targets' within the 67-drug clinical set [E-2004 context]. Taking the resolved-outcome subset at roughly one third of the tracked cohort gives n approximately 24. At n=24 and p=0.85 the Wilson 95% CI is 66.1-94.3% [E-2066], which is the number carried into the report. This estimate is explicitly an inference, not a retrieved value."
B,Jayatunga et al. 2024 Phase II denominator (n behind the ~40% figure),"Same five queries as the Phase I denominator item, plus 'AI-discovered drugs phase 2 failure rate similar Nature Medicine 2025 editorial analysis'","Paywalled; no accessible source states the Phase II n. All secondary sources that quote 40% omit the denominator, and one explicitly notes 'the sample size is small'.","(a) ScienceDirect - 403; (b) ResearchGate publication 380223979 - request-full-text page only, no content; (c) humai.blog synthesis - gives 40% vs 37% with no n; (d) intuitionlabs 2026 census - independently counts 8 AI assets that have completed Phase 2 across the whole field [E-2055]; (e) noah.bio narrative review - repeats 40% without n",n between 5 and 12; most likely 8-10,"Independent 2026 census counts 8 of 117 AI-enabled assets as having completed Phase 2 field-wide, five years after the Jayatunga data cut [E-2055]. The 2023 cut-off cohort must therefore have been smaller still. Niazi 2025 independently states only 4-9 AI-derived molecules have publicly documented clinical outcomes [E-2007]. Wilson 95% CI at p=0.40, n=8 is 15.2-71.3%; at n=10 it is 16.8-68.7% [E-2065]. Either interval spans every plausible industry baseline, which is sufficient to support the NO EVIDENCE verdict on axis (ii) regardless of the exact n."
B,"Named list of companies included in the Jayatunga AI-discovered cohort, and the operational definition of 'AI-discovered'",(1) 'BCG Jayatunga AI-discovered molecules clinical success analysis Wellcome methodology definition'; (2) 'Jayatunga Ayers Bruens 104009 abstract AI-discovered 2024 pipeline analysis'; (3) 'number of AI-derived drug candidates entering clinical trials per year 2024 2025 census Deep Pharma Intelligence Nature Biotechnology count INDs',"Paywalled. Search snippets reveal only that the cohort included molecules partnered with pharmaceutical companies and excluded COVID-19-related molecules, and that target classes spanned kinases, epigenetic regulators, PPI modulators and GPCRs. The inclusion rule that separates 'AI-discovered' from 'AI-assisted' is not stated in any accessible source.","(a) ScienceDirect - 403; (b) askme.it secondary - identifies the BCG/Wellcome partnership and ~73 molecules but no company list; (c) biopharmatrend - names 8 leading AI companies with 31 clinical molecules (April 2024) as an independent proxy [E-2071]; (d) intuitionlabs 2026 census - names 63 companies field-wide but for a 2025 data cut, not the 2023 cohort [E-2054]","Cohort most likely comprises Exscientia, Insilico Medicine, Recursion, BenevolentAI, Schrodinger, Relay Therapeutics, Verge Genomics, Evotec, Iktos/Lantern-tier companies and their pharma partners; definition most likely 'a molecule from a company that self-describes the programme as AI-enabled'","The ~73-molecule tracked set [E-2004] is close to the ~75 cumulative AI-derived clinical molecules counted independently by end-2024 [E-2072], which implies a broad, self-report-based inclusion rule rather than a narrow 'AI generated the structure' rule. The ASCO/JCO 2026 landscape explicitly warns that such aggregated counts mix candidates where AI proposed both target and structure with programmes where AI merely accelerated an existing workflow [E-2054]. This definitional breadth is itself the central methodological weakness and is recorded as such in the report."
B,Published formal rebuttal or correspondence responding directly to Jayatunga et al. 2024 with a reanalysis,(1) 'critique AI-discovered drugs Phase I success rate survivorship bias selection bias Jayatunga rebuttal'; (2) 'AI-discovered molecules clinical Phase II success rate n= Jayatunga limitations small sample industry baseline comparison critique 2025'; (3) 'AI-discovered drugs phase 2 failure rate similar Nature Medicine 2025 editorial analysis',"No formal published rebuttal, correspondence, or reanalysis was located. Criticism exists but is distributed across review articles rather than concentrated in a single response paper.","(a) Nature Reviews Drug Discovery 2026 (Bender/Thomas/Scannell) - cites the paper as reference 10 and states clinically relevant impact is disappointingly limited, but does not reanalyse it [E-2006]; (b) MDPI Pharmaceuticals 2026 validation-crisis review - argues no approvals and unchanged attrition, without a targeted reanalysis [E-2061]; (c) Niazi 2025 - independently counts only 4-9 documented outcomes, an implicit refutation of the statistical basis [E-2007]; (d) Thieme 'Artificial Intelligence in Drug Discovery and Development' - notes variable AI-designed definitions, likely survivorship and publication bias, and absence of controlled comparison","No formal rebuttal exists; the effective critique is distributed and rests on three points - undisclosed denominators, definitional breadth, and absence of a matched comparator cohort","Three independent peer-reviewed reviews published after the original all decline to endorse the PoS conclusion while citing the paper [E-2006, E-2007, E-2061]. Combined with the derived power calculation showing the Phase II comparison is roughly 500-fold underpowered [E-2065], the absence of a formal rebuttal reflects the field treating the result as unfalsifiable at current n rather than as accepted."
B,Numeric success rate in 'RFdiffusion Exhibits Low Success Rate in De Novo Design of Functional Protein Binders for Biochemical Detection' (bioRxiv 2025.02.07.636769),(1) 'RFdiffusion de novo binder experimental success rate percentage designs tested Baker lab 2023 2025'; (2) direct WebFetch of the .full.pdf URL (three attempts); (3) direct WebFetch of the v1 landing page,"bioRxiv returned HTTP 429 Too Many Requests on every attempt across the session (Retry-After values of 77, 76, 42, 81, 23, 74, 90 seconds; retried after intervening work and still throttled). The abstract text was never served.","(a) biorxiv.org/content/10.1101/2025.02.07.636769.full.pdf - HTTP 429 x2; (b) biorxiv.org/content/10.1101/2025.02.07.636769v1 - HTTP 429; (c) search-engine snippet - returns the title only, no numbers; (d) substituted the DigBioLab pooled meta-analysis of 3,766 designs across 15 targets, which supplies a superior and independently computed figure of 11.6% [E-2020]; (e) substituted the Adaptyv Bio independent contract-lab replication [E-2022]","Success rate below the 11.6% pooled average, plausibly in the 0-5% range for this application class","The paper's title asserts a low rate, and the pooled meta-analysis shows per-target precision spanning 0.1 to 1.0, i.e. some targets yield essentially nothing [E-2020]. Functional (catalytic or detection-competent) binders are a strictly harder requirement than binding alone, and the Science prospective docking study shows the same functional-versus-binding gap in small molecules, where functional hit rates were 1-5% against binding hit rates of 26-54% [E-2013]. The report does not rely on this record for any conclusion; the 11.6% pooled figure carries the argument instead."
B,Numeric enrichment and pose-accuracy values from 'AlphaFold3 in Drug Discovery: A Comprehensive Assessment' and 'AlphaFold3 for Structure-guided Ligand Discovery',(1) 'AlphaFold impact drug discovery assessment has not transformed 2025 2026 medicinal chemists limitations conformational states ligand binding'; (2) direct WebFetch of biorxiv 2025.04.07.647682v1.full; (3) direct WebFetch of biorxiv 10.64898/2025.12.04.692352.full.pdf,"Both bioRxiv fetches returned HTTP 429. Only the qualitative >5 angstrom RMSD degradation threshold could be recovered, via a secondary trade-press summary.","(a) biorxiv 2025.04.07.647682v1.full - HTTP 429; (b) biorxiv 10.64898/2025.12.04.692352.full.pdf - HTTP 429; (c) drugdiscoverynews.com AlphaFold review - supplies the 5 angstrom threshold qualitatively [E-2017, E-2018]; (d) substituted three peer-reviewed AF2 screening benchmarks with full numbers instead: Lyu et al. Science 2024 prospective hit rates [E-2012], Alhumaid & Tawfik 32-GPCR enrichment factors [E-2015], and the JCIM refined/unrefined AF2 benchmark EF1% values [E-2016]","AlphaFold3 pose accuracy is expected to sit between AF2 models and experimental holo structures for virtual screening, i.e. materially better than AF2 on static pockets and materially worse than a liganded experimental structure on induced-fit pockets","AF2 models benchmark at apo-structure quality (EF1% 13.16 vs apo 11.56 vs holo 24.81) [E-2016]; AF3 adds explicit ligand co-folding, which should close part but not all of the apo-to-holo gap, and the retrievable qualitative finding is that AF3 degrades beyond 5 angstroms of conformational change [E-2017]. The report's benchmark-versus-reality conclusion rests on the three fully retrieved AF2 benchmarks, not on this estimate."
B,Identity of Isomorphic Labs' first clinical candidate (the circulating designation 'ISM8969' and a claimed FDA clearance on 2026-01-28),(1) 'Isomorphic Labs first drug candidate clinical trial 2026 IND status pipeline'; (2) 'Isomorphic Labs 2026 first candidate name oncology IND cleared announcement official'; (3) ClinicalTrials.gov API v2 sponsor query for 'Isomorphic',"The 'ISM8969' designation and the 28 January 2026 FDA clearance date appear only in low-quality aggregator content (startupfortune.com, chemdiv.com news reposts). No Isomorphic Labs press release, no regulatory record, and no trial registration corroborates it. The 'ISM' prefix is Insilico Medicine's established asset-naming convention, which raises a substantial risk that the designation is a conflation or a fabrication.","(a) clinicaltrials.gov API v2, query.spons=Isomorphic - zero studies returned on 2026-08-18 [E-2048]; (b) clinicaltrialsarena.com July 2025 report - no candidate names or targets disclosed, company still staffing up [E-2049]; (c) intuitionlabs July 2026 pipeline census - does not list any Isomorphic Labs clinical asset [E-2055]; (d) targeted search for an official Isomorphic announcement - returned only the same two aggregators",Isomorphic Labs had no publicly registered clinical trial as of 2026-08-18; the 'ISM8969' claim should be treated as unverified and probably erroneous,"The registry query is a direct primary-source null result [E-2048]. An IND clearance does not itself require trial registration, so a cleared-but-unregistered IND is possible; however, a first-in-human oncology trial that had dosed patients would normally be registered, and no company release exists. Recorded in the CSV as status 'unknown' with zero registered trials, and the 'ISM8969' designation is deliberately excluded from the evidence ledger."
B,Cradle Bio therapeutic pipeline and any clinical-stage asset,(1) 'AI Proteins clinical trial 2026 miniprotein Cradle Bio pipeline EvolutionaryScale ESM3 therapeutic clinical candidate status'; (2) 'Iambic Therapeutics IAM1363 ... Genesis Therapeutics GT-01 clinical Xaira first candidate' (which also surfaced platform-company results),Cradle Bio is a protein-engineering software vendor selling model-guided design to other companies rather than a therapeutics developer; no proprietary pipeline disclosure was located because none appears to exist.,(a) targeted search combining Cradle with pipeline and clinical candidate terms - returned no pipeline page; (b) intuitionlabs 2026 clinical census of 117 AI-enabled assets - Cradle does not appear [E-2055]; (c) ASCO/JCO 2026 landscape of 63 companies as reported - Cradle not identified among named clinical sponsors [E-2054],"Zero clinical-stage assets; Cradle is a tools company, not a pipeline company","Absence from two independent field-wide clinical censuses covering 63 companies and 117 assets is meaningful negative evidence [E-2054, E-2055]. Recorded in the CSV as a zero-asset row alongside EvolutionaryScale and Chai Discovery, which share the same tools-not-pipeline position."
B,A regulator-sourced count of AI-derived INDs (as opposed to third-party pipeline censuses),(1) 'FDA number of INDs filed per year commercial IND submissions CDER 2023 2024 statistics annual report'; (2) 'CDER IND receipts commercial 2023 2024 number FDA annual new INDs statistics'; (3) 'number of AI-derived drug candidates entering clinical trials per year 2024 2025 census Deep Pharma Intelligence Nature Biotechnology count INDs',"The FDA does not tag INDs by discovery method. CDER publishes IND receipts by commercial/research split only, so an official AI-derived count does not exist and cannot exist under the current reporting schema. Independent syntheses also note that clinical registries rarely document AI provenance, which makes independent validation of AI attribution impossible from registry data alone.","(a) fda.gov/drugs/ind-activity/inds-activity - HTTP 401 on direct fetch; totals recovered through the search index and a regulatory-consultancy summary [E-2056]; (b) fda.gov/media/135133/download - HTTP 401; (c) bla-regulatory.com FDA CDER IND activity summary - confirms 1,139 commercial + 716 research = 1,855 for CY2024, citing FDA CDER IND Receipts 2024 [E-2056]; (d) clinicaltrials.gov - carries no AI-provenance field",AI-derived candidates are 1.0-3.4% of annual US commercial IND filings,"Derived in E-2057: numerator is the 117-candidate cumulative census [E-2054] annualised over 10 years (1.03%) and over 3 years (3.42%); denominator is 1,139 CY2024 CDER commercial IND receipts [E-2056]. The independent count of >75 cumulative AI-derived clinical molecules by end-2024 [E-2072] gives the same order of magnitude. The estimate is conservative in the numerator's favour because the 117-count uses a broad AI-enabled definition, and conservative against AI in the denominator because CBER INDs are excluded; including CBER would push the share lower."
B,Genesis Therapeutics named clinical asset and its phase,(1) 'Iambic Therapeutics IAM1363 HER2 Phase 1 results 2026 Genesis Therapeutics GT-01 clinical Xaira first candidate'; (2) follow-on searches within the same call for Genesis Therapeutics first clinical candidate,"No named clinical asset was found. The company states it is approaching first clinical entry but has not disclosed an asset designation, target or trial.","(a) genesis.ml/partners-pipeline - partnership listings only, no named clinical asset; (b) biopharmadive Series B coverage - CEO states the company is approaching an inflection point with its first candidates entering the clinic, without naming one [E-2052]; (c) intuitionlabs 2026 clinical census - Genesis Therapeutics does not appear among the 117 assets [E-2055]",Zero named clinical-stage assets as of August 2026,"Absence from the 2026 field-wide census of 117 AI-enabled clinical assets [E-2055] plus the absence of any company disclosure. Recorded in the CSV as a zero-asset row [E-2052]. The relevant point for Q1 is that Genesis, Xaira, AI Proteins, Cradle, Chai and EvolutionaryScale together hold roughly USD 2 billion of capital and zero clinical assets between them [E-2050, E-2051, E-2052]."
