stage_id,stage_name,modality,region,axis,metric,value,unit,spread_or_ci,cost_basis,coc_included,discount_rate,denominator_def,sample_desc,source_year,evidence_ids,notes
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,US,T,nonclinical stage duration,31.2,months,NA,NA,NA,NA,"model duration, all therapeutic areas pooled","ClinicalTrials.gov + FDA internal + Medidata + IQVIA, 2000-2018",2024,E-1014,source does not decompose by this dimension
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,not_decomposed,T,preclinical stage cycle time,12,months,NA,NA,NA,NA,"preclinical only; the Paul model puts target ID, screening and lead optimisation in separate upstream stages",13 large pharma cos,2010,E-1017,"Not comparable to the 31.2-month figures above, which bundle late lead optimisation into the pre-IND clock"
S4,"preclinical (IND-enabling tox, CMC for IND)",small_molecule,US,T,IND-enabling package elapsed time,12,months,6-18 months,NA,NA,NA,vendor-quoted programme duration for CRO-executed IND-enabling work,no disclosed sample,2025,E-1048,commercial service-provider guidance; provider has a direct interest in the quoted range
S4,"preclinical (IND-enabling tox, CMC for IND)",small_molecule,US,C,IND-enabling package cost,4.5,USD_million,2-7 USD million,out_of_pocket,false,NA,single-programme cash cost for the IND-enabling package; not attrition-loaded,no disclosed sample,2025,E-1048,midpoint of a quoted range; biologics and advanced modalities are stated to exceed it but no figure is given
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,US,C,mean nonclinical stage cost,11.8,USD_million_2018,NA,out_of_pocket,false,NA,"per stage attempt, all therapeutic areas pooled",2000-2018 US,2024,E-1012,source does not decompose by this dimension
S4,"preclinical (IND-enabling tox, CMC for IND)",small_molecule,US,C,preclinical cost per approved drug,430,USD_million_2013,NA,risk_adjusted,false,NA,"per approved compound, abandoned-compound cost allocated in","106 compounds, 10 firms",2016,E-1004;E-1001,DiMasi decomposition; treated as risk-adjusted because abandoned-compound cost is already loaded in
S4,"preclinical (IND-enabling tox, CMC for IND)",small_molecule,US,C,preclinical cost per approved drug,1098,USD_million_2013,NA,capitalized,true,10.5,per approved compound,"106 compounds, 10 firms",2016,E-1004;E-1001,NA
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,US,C,nonclinical share of cost per approved drug,6.8,percent,NA,out_of_pocket,false,NA,share of mean cost per approved drug on a pure cash-outlay basis,2000-2018,2024,E-1013,the same study reports 27.0% risk-adjusted and 40.2% capitalized for the identical stage
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,US,C,nonclinical share of cost per approved drug,40.2,percent,NA,capitalized,true,11.0,share of mean capitalized cost per approved drug,2000-2018,2024,E-1013,NA
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,US,C,observed preclinical share of company R&D outlay,12.4,percent,range 0.3-50.7,out_of_pocket,false,NA,median across the 19 products whose preclinical spend was traceable in SEC filings,"19 of 63 agents, 2009-2018",2020,E-1007,directly contradicts the 42.9% preclinical share assumed in the DiMasi model
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,not_decomposed,P,probability of technical success to Phase 1,69,percent,NA,NA,NA,NA,preclinical-to-Phase-I transition in a WIP model,13 large pharma cos,2010,E-1018,source does not decompose by this dimension
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,US,P,probability of technical success to Phase 1,68.0,percent,NA,NA,NA,NA,nonclinical-to-Phase-1 transition in the ASPE/JAMA model,2000-2018,2024,E-1015,independently close to the Paul 2010 value of 69%
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,US,P,cumulative probability from this stage to approval,8.5,percent,95% CI 3.9-16.1,NA,NA,NA,"nonclinical entry through approval, US industry programmes",2000-2018,2024,E-1015,NA
S4,"preclinical (IND-enabling tox, CMC for IND)",not_decomposed,not_decomposed,P,cumulative probability from this stage to approval,8.1,percent,NA,NA,NA,NA,0.69*0.54*0.34*0.70*0.91,13 large pharma cos,2010,E-1097;E-1018,derived from E-1018 chain
S5,Phase I,not_decomposed,US,T,mean phase duration,33.1,months,NA,NA,NA,NA,mean phase length in the DiMasi cost model,"106 compounds, 10 firms",2016,E-1005,source does not decompose by this dimension
S5,Phase I,not_decomposed,US,T,mean phase duration,27.8,months,NA,NA,NA,NA,"model phase duration, all therapeutic areas",2000-2018,2024,E-1014,source does not decompose by this dimension
S5,Phase I,not_decomposed,global,T,median phase duration,1.6,years,NA,NA,NA,NA,median over industry-sponsored development paths,"406,038 trial entries, 21,143 compounds, 2000-2015",2019,E-1021,"shorter than the model figures because it measures the trial itself, not the inter-phase interval"
S5,Phase I,not_decomposed,global,T,mean interval Phase I to Phase II,2.3,years,NA,NA,NA,NA,"inter-phase interval, so it includes between-phase white space","12,728 transitions, 9,704 programmes, 2011-2020",2021,E-1025,NA
S5,Phase I,not_decomposed,US,C,mean phase cost,7.1,USD_million_2018,NA,out_of_pocket,false,NA,"per stage attempt, all therapeutic areas pooled",2000-2018,2024,E-1012,source does not decompose by this dimension
S5,Phase I,large_molecule,US,C,mean phase cost,23.93,USD_million_2013,NA,out_of_pocket,false,NA,"per compound entering the phase, large molecules",DiMasi 2016 sample,2016,E-1004,DiMasi decomposition as restated in a compilation source
S5,Phase I,small_molecule,US,C,mean phase cost,25.53,USD_million_2013,NA,out_of_pocket,false,NA,"per compound entering the phase, small molecules",DiMasi 2016 sample,2016,E-1004,NA
S5,Phase I,not_decomposed,US,C,share of a single year of member R&D outlay,8.5,percent,NA,out_of_pocket,false,NA,PhRMA functional split of one year's spend,"PhRMA members, 2022",2023,E-1042,NA
S5,Phase I,not_decomposed,global,P,phase transition probability,52.0,percent,NA,NA,NA,NA,"programme level, industry-sponsored registration-enabling programmes","9,704 programmes, 2011-2020, Biomedtracker",2021,E-1023,NA
S5,Phase I,not_decomposed,global,P,phase transition probability,66.4,percent,NA,NA,NA,NA,path-by-path: each drug-indication-sponsor path counted separately,"41,040 industry paths, 2000-2015",2019,E-1020,"the 14-point gap versus the BIO figure is a denominator artefact, not a change in biology"
S5,Phase I,not_decomposed,global,P,phase transition probability,64.5,percent,NA,NA,NA,NA,"lead-indication weighted, industry-sponsored","835 companies, 2003-2011",2014,E-1022,NA
S5,Phase I,not_decomposed,global,P,phase transition probability,47,percent,NA,NA,NA,NA,"programme level, Biomedtracker, 2014-2023 window",programme count not disclosed publicly,2024,E-1026,"successor of the same Biomedtracker lineage as the BIO figure, not an independent replication"
S5,Phase I,not_decomposed,global,P,phase transition probability,50,percent,NA,NA,NA,NA,"programme level, all trials for one drug-indication merged into one CDP","20,398 CDPs, 2015-2023 window",2025,E-1027,NA
S5,Phase I,not_decomposed,global,P,cumulative probability from this stage to approval,7.9,percent,NA,NA,NA,NA,"programme level, BIO/Informa/QLS denominators","9,704 programmes, 2011-2020",2021,E-1023,NA
S5,Phase I,not_decomposed,global,P,cumulative probability from this stage to approval,13.8,percent,NA,NA,NA,NA,path-by-path denominators,"41,040 industry paths, 2000-2015",2019,E-1020,NA
S5,Phase I,not_decomposed,global,P,cumulative probability from this stage to approval,10.4,percent,NA,NA,NA,NA,lead-indication weighted,"835 companies, 2003-2011",2014,E-1022,NA
S5,Phase I,not_decomposed,global,P,cumulative probability from this stage to approval,6.7,percent,NA,NA,NA,NA,"programme level, Biomedtracker",2014-2023,2024,E-1026,NA
S5,Phase I,not_decomposed,global,P,cumulative probability from this stage to approval,5.5,percent,approximately 5-6,NA,NA,NA,programme-level CDP; OSR = P1SR x P2SR x P3SR,"20,398 CDPs, 2015-2023 window",2025,E-1027,NA
S5,Phase I,cell_therapy_CAR_T,global,P,cumulative probability from this stage to approval,17.3,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=67 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,RNA_siRNA_RNAi,global,P,cumulative probability from this stage to approval,13.5,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=70 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,antibody_mAb,global,P,cumulative probability from this stage to approval,12.1,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=2136 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,ADC,global,P,cumulative probability from this stage to approval,10.8,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=184 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,gene_therapy,global,P,cumulative probability from this stage to approval,10.0,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=96 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,vaccine,global,P,cumulative probability from this stage to approval,9.7,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=316 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,protein,global,P,cumulative probability from this stage to approval,9.4,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=800 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,peptide,global,P,cumulative probability from this stage to approval,8.0,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=619 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,small_molecule_NME,global,P,cumulative probability from this stage to approval,5.7,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=6803 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,RNA_antisense,global,P,cumulative probability from this stage to approval,5.2,percent,NA,NA,NA,NA,programme-level LOA from Phase I within modality; n = phase transitions in that modality,"n=162 transitions, 2011-2020 Biomedtracker",2021,E-1024,modality decomposition; CAR-T and gene-therapy cells are small and heavily oncology/rare-disease weighted
S5,Phase I,not_decomposed,global,P,"cumulative probability from this stage to approval, oncology",3.4,percent,NA,NA,NA,NA,"path-by-path, oncology indications only",2000-2015,2019,E-1021,non-oncology in the same study is 20.9%
S5,Phase I,not_decomposed,global,P,"cumulative probability from this stage to approval, rare disease",17.0,percent,NA,NA,NA,NA,"programme level, rare-disease indications","n=1,256 transitions, 2011-2020",2021,E-1025,chronic high-prevalence disease in the same report is 5.9%
S6,Phase II,not_decomposed,US,T,mean phase duration,37.9,months,NA,NA,NA,NA,mean phase length in the DiMasi cost model,"106 compounds, 10 firms",2016,E-1005,source does not decompose by this dimension
S6,Phase II,not_decomposed,US,T,mean phase duration,34.0,months,NA,NA,NA,NA,model phase duration,2000-2018,2024,E-1014,source does not decompose by this dimension
S6,Phase II,not_decomposed,global,T,median phase duration,2.9,years,NA,NA,NA,NA,median over industry-sponsored paths,2000-2015,2019,E-1021,NA
S6,Phase II,not_decomposed,global,T,mean interval Phase II to Phase III,3.6,years,NA,NA,NA,NA,inter-phase interval including white space,2011-2020,2021,E-1025,NA
S6,Phase II,not_decomposed,US,T,"between-phase white space, Phase II to Phase III",17,months,NA,NA,NA,NA,"elapsed time between Phase II completion and Phase III start, non-expedited programmes only",82% of non-expedited programmes approved 2008-2018,2021,E-1036,the remaining 18% of programmes ran the two phases concurrently; the Phase I-to-II gap could not be measured
S6,Phase II,not_decomposed,US,C,mean phase cost,21.0,USD_million_2018,NA,out_of_pocket,false,NA,"per stage attempt, all therapeutic areas pooled",2000-2018,2024,E-1012,source does not decompose by this dimension
S6,Phase II,not_decomposed,US,C,per-study cost range,13.3,USD_million,7.0-19.6 by therapeutic area,out_of_pocket,false,NA,"cost per individual study, not per approved drug",aggregate proprietary Medidata databases,2014,E-1052,midpoint of the reported range
S6,Phase II,large_molecule,US,C,mean phase cost,91.86,USD_million_2013,NA,out_of_pocket,false,NA,"per compound entering the phase, large molecules",DiMasi 2016 sample,2016,E-1004,NA
S6,Phase II,small_molecule,US,C,mean phase cost,50.4,USD_million_2013,NA,out_of_pocket,false,NA,"per compound entering the phase, small molecules",DiMasi 2016 sample,2016,E-1004,NA
S6,Phase II,not_decomposed,US,C,share of a single year of member R&D outlay,11.1,percent,NA,out_of_pocket,false,NA,PhRMA functional split,"PhRMA members, 2022",2023,E-1042,NA
S6,Phase II,not_decomposed,global,P,phase transition probability,28.9,percent,NA,NA,NA,NA,"programme level, industry-sponsored","n=4,933 transitions, 2011-2020",2021,E-1023,lowest transition probability of any stage in every source in this table
S6,Phase II,not_decomposed,global,P,phase transition probability,48.6,percent,NA,NA,NA,NA,path-by-path,2000-2015,2019,E-1020,NA
S6,Phase II,not_decomposed,global,P,phase transition probability,32.4,percent,NA,NA,NA,NA,lead-indication weighted,2003-2011,2014,E-1022,NA
S6,Phase II,not_decomposed,US,P,phase transition probability,35.9,percent,NA,NA,NA,NA,ASPE/JAMA model,2000-2018,2024,E-1015,NA
S6,Phase II,not_decomposed,not_decomposed,P,phase transition probability,34,percent,NA,NA,NA,NA,"WIP model, large pharma portfolios","13 large pharma cos, mid-2000s",2010,E-1018,NA
S6,Phase II,not_decomposed,global,P,phase transition probability,28,percent,NA,NA,NA,NA,"programme level, Biomedtracker 2014-2023",not disclosed,2024,E-1026,NA
S6,Phase II,not_decomposed,global,P,phase transition probability,28,percent,NA,NA,NA,NA,programme-level CDP,"20,398 CDPs, 2015-2023 window",2025,E-1027,five independent programme-level sources converge on 28-36%; the path-by-path 48.6% is the outlier and the reason is the denominator
S6,Phase II,not_decomposed,global,P,cumulative probability from this stage to approval,15.1,percent,NA,NA,NA,NA,product of downstream BIO transitions,2011-2020,2021,E-1096;E-1023,derived record
S6,Phase II,not_decomposed,not_decomposed,P,cumulative probability from this stage to approval,21.7,percent,NA,NA,NA,NA,product of downstream Paul 2010 probabilities,13 large pharma cos,2010,E-1097;E-1018,derived record
S7,Phase III,not_decomposed,US,T,mean phase duration,45.1,months,NA,NA,NA,NA,mean phase length in the DiMasi cost model,"106 compounds, 10 firms",2016,E-1005,source does not decompose by this dimension
S7,Phase III,not_decomposed,US,T,mean phase duration,38.0,months,NA,NA,NA,NA,model phase duration,2000-2018,2024,E-1014,source does not decompose by this dimension
S7,Phase III,not_decomposed,global,T,median phase duration,3.8,years,NA,NA,NA,NA,median over industry-sponsored paths,2000-2015,2019,E-1021,NA
S7,Phase III,not_decomposed,global,T,mean interval Phase III to regulatory filing,3.3,years,NA,NA,NA,NA,inter-phase interval including white space,2011-2020,2021,E-1025,NA
S7,Phase III,not_decomposed,US,C,mean phase cost,89.3,USD_million_2018,NA,out_of_pocket,false,NA,"per stage attempt, all therapeutic areas pooled",2000-2018,2024,E-1012,largest single-stage cash cost in every source in this table
S7,Phase III,not_decomposed,US,C,per-study cost range,32.2,USD_million,11.5-52.9 by therapeutic area,out_of_pocket,false,NA,cost per individual study,aggregate proprietary Medidata databases,2014,E-1052,midpoint of the reported range
S7,Phase III,large_molecule,US,C,mean phase cost,281.13,USD_million_2013,NA,out_of_pocket,false,NA,"per compound entering the phase, large molecules",DiMasi 2016 sample,2016,E-1004,NA
S7,Phase III,small_molecule,US,C,mean phase cost,245.8,USD_million_2013,NA,out_of_pocket,false,NA,"per compound entering the phase, small molecules",DiMasi 2016 sample,2016,E-1004,NA
S7,Phase III,not_decomposed,US,C,share of a single year of member R&D outlay,28.8,percent,NA,out_of_pocket,false,NA,PhRMA functional split; 36.0% if uncategorised spend is excluded,"PhRMA members, 2022",2023,E-1042;E-1099,NA
S7,Phase III,not_decomposed,global,P,phase transition probability,57.8,percent,NA,NA,NA,NA,"programme level, Phase III to NDA/BLA filing","n=1,928 transitions, 2011-2020",2021,E-1023,NA
S7,Phase III,not_decomposed,global,P,phase transition probability,59.0,percent,NA,NA,NA,NA,"path-by-path, Phase 3 to approval",2000-2015,2019,E-1020,NA
S7,Phase III,not_decomposed,global,P,phase transition probability,60.1,percent,NA,NA,NA,NA,lead-indication weighted,2003-2011,2014,E-1022,NA
S7,Phase III,not_decomposed,US,P,phase transition probability,65.5,percent,NA,NA,NA,NA,"Phase 3 to FDA review, ASPE/JAMA model",2000-2018,2024,E-1015,NA
S7,Phase III,not_decomposed,global,P,cumulative probability from this stage to approval,52.4,percent,NA,NA,NA,NA,product of downstream BIO transitions,2011-2020,2021,E-1096;E-1023,derived record
S8,regulatory submission & review,not_decomposed,US,T,mean review duration,16.0,months,NA,NA,NA,NA,approval-phase length in the DiMasi cost model,"106 compounds, 10 firms",2016,E-1005,source does not decompose by this dimension
S8,regulatory submission & review,not_decomposed,US,T,mean review duration,16.2,months,NA,NA,NA,NA,FDA review duration in the ASPE/JAMA model,2000-2018,2024,E-1014,source does not decompose by this dimension
S8,regulatory submission & review,not_decomposed,US,T,"median approval time, submission to approval",356,days,NA,NA,NA,NA,new active substances approved in 2024; includes agency and company time,FDA NAS approved in 2024,2025,E-1032,NA
S8,regulatory submission & review,not_decomposed,EU,T,"median approval time, submission to approval",430,days,IQR narrowed from 110 days (2020) to 61 days (2024),NA,NA,NA,EU centralised procedure including European Commission decision time,34 NAS approved by EMA in 2024,2025,E-1032;E-1034,"2020-2024 series: 426, 428, 430, 453, 430 days"
S8,regulatory submission & review,not_decomposed,JP-KR,T,"median approval time, submission to approval",290,days,NA,NA,NA,NA,PMDA new active substances 2024; shortest of the six CIRS agencies,PMDA NAS approved in 2024,2025,E-1032,NA
S8,regulatory submission & review,not_decomposed,JP-KR,T,target total approval timeline after 2025 reform,295,days,NA,NA,NA,NA,"Korea MFDS policy target, down from about 420 days; a target, not an observed median",policy announcement effective 2025-01-01,2025,E-1051,NA
S8,regulatory submission & review,not_decomposed,CN,T,standard NDA review target,15,months,12-18 months,NA,NA,NA,NMPA standard review target from dossier acceptance,"regulatory guidance, not an observed median",2025,E-1049,recorded as a target; an observed NMPA median comparable to the CIRS metric was not obtained
S8,regulatory submission & review,not_decomposed,US,T,"median review time, orphan-designated novel drugs",244,days,NA,NA,NA,NA,"orphan-designated novel drugs only; NDA 244 days (n=49), BLA 245 days (n=24)",73 drugs approved June 2020-May 2023,2024,E-1035,NA
S8,regulatory submission & review,not_decomposed,EU,T,"median review time, orphan-designated novel drugs",353,days,NA,NA,NA,NA,"same cohort, EU review",39 drugs also approved in the EU,2024,E-1035,NA
S8,regulatory submission & review,not_decomposed,US,T,FDA review time trend,12,months,from >36 months in 1983 to <12 months in 2017,NA,NA,NA,FDA review time across all new drug approvals,FDA databases 1984-2018,2020,E-1029,"over the same period total IND-to-approval time stayed near 8 years, so the review speed-up did not shorten development"
S8,regulatory submission & review,not_decomposed,EU,T,company response time share of EU centralised procedure,30,percent,NA,NA,NA,NA,"128 of 430 median days in 2024 are sponsor clock-stop time, not agency assessment","34 NAS, 2024",2025,E-1034,"CHMP assessment is 216 days (51%), EC decision 56 days (13%), validation 24 days (6%)"
S8,regulatory submission & review,not_decomposed,US,C,mean FDA review stage cost,2.6,USD_million_2018,NA,out_of_pocket,false,NA,per stage attempt,2000-2018,2024,E-1012,smallest per-stage cash cost of any stage in the model
S8,regulatory submission & review,not_decomposed,US,C,share of a single year of member R&D outlay,4.3,percent,NA,out_of_pocket,false,NA,"PhRMA functional split, approval phase","PhRMA members, 2022",2023,E-1042,NA
S8,regulatory submission & review,not_decomposed,global,P,filing to approval probability,90.6,percent,NA,NA,NA,NA,"programme level, NDA/BLA to approval","n=1,453 transitions, 2011-2020",2021,E-1023,NA
S8,regulatory submission & review,not_decomposed,US,P,review to approval probability,88.3,percent,NA,NA,NA,NA,ASPE/JAMA model,2000-2018,2024,E-1015,NA
S8,regulatory submission & review,not_decomposed,global,P,filing to approval probability,92,percent,NA,NA,NA,NA,"programme level, Biomedtracker 2014-2023",not disclosed,2024,E-1026,"three sources agree that once a dossier is filed, roughly 9 in 10 programmes are approved"
S9,post-approval launch & manufacturing scale-up,not_decomposed,US,T,Phase 4 stage duration,36.6,months,NA,NA,NA,NA,post-marketing stage duration in the ASPE/JAMA model,2000-2018,2024,E-1014,source does not decompose by this dimension
S9,post-approval launch & manufacturing scale-up,not_decomposed,US,C,share of a single year of member R&D outlay,11.5,percent,NA,out_of_pocket,false,NA,"PhRMA functional split, Phase IV; larger than Phase I and larger than Phase II","PhRMA members, 2022",2023,E-1042,post-approval work absorbs more current R&D cash than Phase I or Phase II
S9,post-approval launch & manufacturing scale-up,not_decomposed,US,C,incremental post-approval R&D per approved drug,312,USD_million_2013,NA,capitalized,true,10.5,difference between the 2870 and 2558 million capitalized estimates,"106 compounds, 10 firms",2016,E-1002;E-1001,2870 minus 2558 = 312; recorded as the post-approval increment in the DiMasi estimate
S9,post-approval launch & manufacturing scale-up,cell_therapy_CAR_T,global,C,manufacturing cost of goods per dose,95780,USD,NA,out_of_pocket,false,NA,modelled cost of goods per autologous dose; excludes administration and hospital cost,single modelled commercial process,2020,E-1046,NA
S9,post-approval launch & manufacturing scale-up,cell_therapy_CAR_T,global,T,vein-to-vein turnaround,28,days,typically 3-5 weeks,NA,NA,NA,apheresis to infusion; about 14 days of it is QC release testing,modelled process,2020,E-1046,this is a per-patient supply constraint that persists for the entire commercial life of the product
S9,post-approval launch & manufacturing scale-up,gene_therapy,global,C,cGMP 200-litre AAV batch cost,2.0,USD_million,NA,out_of_pocket,false,NA,per batch at a US CDMO; doses per batch vary by indication and dose level,"industry cost model, sample not disclosed",2024,E-1047,NA
S9,post-approval launch & manufacturing scale-up,cell_and_gene_therapy,US,C,estimated cost per approved cell or gene therapy,1943,USD_million,NA,capitalized,true,NA,per approved cell or gene therapy,"25 assets identified, 11 costed; FDA-approved or expected by end-2024",2023,E-1045,discount rate not recoverable from the retrievable text
S9,post-approval launch & manufacturing scale-up,cell_and_gene_therapy,US,P,novel CGT approvals per year,8,count,NA,NA,NA,NA,novel CBER cell and gene therapy approvals in 2024; 7 in 2023; about 35 cumulative,2024 calendar year,2025,E-1053,NA
SYS,whole pipeline,small_molecule,US,C,total cost per approved drug,1395,USD_million_2013,NA,risk_adjusted,false,NA,"per approved compound, abandoned-compound cost allocated in","106 compounds, 10 firms, FIH 1995-2007, confidential company survey",2016,E-1002;E-1001,NA
SYS,whole pipeline,small_molecule,US,C,total cost per approved drug,2558,USD_million_2013,NA,capitalized,true,10.5,per approved compound,"106 compounds, 10 firms",2016,E-1001,the widely quoted 2.6 billion dollar anchor; sample is a confidential self-reported survey and cannot be independently reproduced
SYS,whole pipeline,small_molecule,US,C,total cost per approved drug including post-approval R&D,2870,USD_million_2013,NA,capitalized,true,10.5,per approved compound plus post-approval R&D,"106 compounds, 10 firms",2016,E-1002,NA
SYS,whole pipeline,not_decomposed,US,C,median cost per approved drug,985.3,USD_million,95% CI 683.6-1228.9,capitalized,true,10.5,per approved therapeutic agent; only agents whose R&D outlay is traceable in SEC filings,"63 of 355 FDA approvals 2009-2018, 47 companies",2020,E-1006,"same discount rate as DiMasi; the gap is driven by sample, data source and preclinical-share assumptions, not by the cost of capital"
SYS,whole pipeline,not_decomposed,US,C,mean cost per approved drug,1335.9,USD_million,95% CI 1042.5-1637.5,capitalized,true,10.5,mean of the same 63-agent sample,"63 agents, 47 companies",2020,E-1006,NA
SYS,whole pipeline,not_decomposed,US,C,median R&D spending per approved cancer drug,648.0,USD_million,range 157.3-1950.8,risk_adjusted,false,NA,"total company R&D from SEC filings; single-product companies, so their own failures are included but portfolio failures are not","10 companies, 10 cancer drugs",2017,E-1009,NA
SYS,whole pipeline,not_decomposed,US,C,median R&D spending per approved cancer drug with opportunity cost,757.4,USD_million,range 203.6-2601.7,capitalized,true,7.0,same sample with a 7 percent opportunity cost applied,10 companies,2017,E-1009,"uses a 7% discount rate against DiMasi's 10.5%, which alone widens the gap"
SYS,whole pipeline,not_decomposed,US,C,mean cost per approved drug,172.7,USD_million_2018,95% CI 132.5-197.9,out_of_pocket,false,NA,cash outlay for the successful programme only,2000-2018 model,2024,E-1011,NA
SYS,whole pipeline,not_decomposed,US,C,mean cost per approved drug,515.8,USD_million_2018,95% CI 327.0-773.2,risk_adjusted,false,NA,cash outlay loaded with failures,2000-2018 model,2024,E-1011,NA
SYS,whole pipeline,not_decomposed,US,C,mean cost per approved drug,879.3,USD_million_2018,95% CI 416.9-1307.3,capitalized,true,11.0,failures plus cost of capital,2000-2018 model,2024,E-1011,the three figures above are the same study on three cost bases; quoting one without the basis is the single most common error with these numbers
