item_id,modality,sub_area,metric,value,unit,year,region,utilization_pct,lead_time_months,batch_failure_pct,cogs_per_unit,cogs_unit,trend_direction,saturation_multiple,constraint_verdict,evidence_ids,notes
G-022,adc,programme demand,ADC programmes at a single CDMO,252,programmes,2025,global,,,,,,rising,,near_binding,E-6004,"WuXi Biologics: 252 ADC and 196 bispecific programmes, each modality growing ~30% year on year; ADCs plus bispecifics were two-thirds of new project additions."
G-023,adc,ADC fill-finish,"Swissmedic-approved aseptic line covering mAb, bispecific and ADC",1,line,2025,CH,,,,,,expanding,,near_binding,E-6002,Integration of conjugation with ADC-capable aseptic filling is the specific scarce asset; general fill-finish lines are not ADC-qualified (containment).
G-030,autologous_cell_therapy,CAR-T manufacturing slot,wait for an allocated manufacturing slot,3,weeks,2024,US/EU,80,0.7,,,,flat,1.19,binding,E-6014;E-6063,"Slots are rationed rather than queued. One batch equals one dose, so capacity scales strictly linearly with suites and trained operators - no batch-size lever exists."
G-031,autologous_cell_therapy,vein-to-vein time,apheresis to infusion,4.5,weeks,2024,US/EU,,1.0,,,,improving,,binding,E-6014,Reported range 3-6 weeks; 2-4 weeks of that is manufacture plus release testing. Next-generation processes claim final formulation within 24 h but are not the commercial standard.
G-032,autologous_cell_therapy,manufacturing failure,share of patients not receiving product,5.5,percent,2024,global,,,5.5,,,improving,,binding,E-6011,Range 4-7% of patients; clinical trial reported range 1-13%.
G-033,autologous_cell_therapy,manufacturing failure - national registry,LBCL commercial CAR-T manufacturing failure,3.87,percent,2025,UK,,,3.87,,,improving,,binding,E-6012,"38 of 981 approved patients, UK National CAR T Panel. Registry-grade denominator, the strongest single figure in this row set."
G-034,autologous_cell_therapy,out-of-specification,"OOS rate, CD19-directed CAR-T",5.0,percent,2025,global,,,5.0,,,flat,,binding,E-6013,"Range 1-6%; 5% specifically for liso-cel. OOS product is often still infused under expanded access, so OOS is not equivalent to a lost patient."
G-035,autologous_cell_therapy,cost of goods,manufacturing COGS per patient dose,115000,USD,2026,global,,,,115000,USD per dose,flat,,binding,E-6015,"2019 estimate was USD 95,780; working range USD 100,000-300,000. Modelled, not audited plant cost; excludes R&D and capital recovery."
G-036,autologous_cell_therapy,suite throughput,patient doses per clean suite per year,16.3,doses,2026,global,,,,,,flat,1.19,binding,E-6063,Derived: 365/21-day cycle x 0.94 manufacturing success. A 10-suite facility yields ~163 doses/year.
G-040,allogeneic_cell_therapy,cost of goods,manufacturing COGS per dose,40000,USD,2026,global,,,,40000,USD per dose,falling,,slack,E-6015,"2019 estimate USD 4,460; recent estimates near USD 40,000, with one platform claim of USD 10-20k at 20,000-60,000 doses/year. Wide dispersion; all modelled."
G-041,allogeneic_cell_therapy,batch economics,"cost ratio, autologous to allogeneic COGS per dose",2.9,ratio,2026,global,,,,,,falling,,slack,E-6015,"115,000 / 40,000 = 2.9x on recent estimates, versus 21x on the 2019 estimates. Allogeneic escapes the one-batch-one-dose constraint that makes autologous inelastic."
G-050,aav_gene_therapy,viral vector suite capacity,AAV suite utilization,50,percent,2026,global,50,18,,,,falling,1.9,slack,E-6005;E-6061,"OVERBUILD CLAIM: the <50% utilization number traces only to secondary aggregators (Mordor, IntuitionLabs) with undisclosed methodology - circular_risk true. It is corroborated by hard corporate events, not by an independent utilization measurement."
G-051,aav_gene_therapy,capacity exit,National Resilience sites closed in 2025,6,sites (of 10),2025,US,,,,,,falling,,slack,E-6006,"Corroborating hard event for the overbuild claim: capacity is leaving the system, which is not consistent with a capacity crunch."
G-052,aav_gene_therapy,asset pricing,sale price of an FDA-approved commercial viral vector plant,4.5,USD million,2025,US,,,,,,falling,,slack,E-6007,"125,000 sq ft, FDA-approved for commercial-scale viral vector, two GMP drug substance suites plus fill-finish, sold to OXB. A distressed price is the most legible evidence of excess supply in the whole dataset."
G-053,aav_gene_therapy,slot booking,manufacturing slot lead time,18,months,2026,global,,18,,,,flat,,near_binding,E-6005,"Coexists with idle suites. Read as a tier mismatch - commercial-grade, high-titre, low-empty-capsid suites are booked while early-phase suites are idle - not as aggregate scarcity."
G-054,aav_gene_therapy,process yield,empty capsid fraction in standard production,80,percent,2025,global,,,,,,improving,,near_binding,E-6016,"Range 70-90%; industry target below 30%, aspiration below 10%. Reducing empty content is projected to cut cost 30-60% by lowering required dose."
G-055,aav_gene_therapy,dose ceiling,"labelled systemic dose, muscle-directed AAV",1.33e14,vg/kg,2025,US,,,,,,flat,,binding,E-6045,"Three acute liver failure deaths in 2025 across Elevidys and SRP-9004; FDA boxed warning and narrowed indication. Dose, not manufacturing slots, is the binding constraint for systemic muscle AAV."
G-060,lentiviral_gene_therapy,GMP vector lead time,order to released GMP lentiviral batch,11,months,2025,global,90,11,,,,flat,1.06,binding,E-6009;E-6062,Range 8-14 months. Utilization inferred from lead time under the stated proxy rule.
G-061,lentiviral_gene_therapy,batch economics,"vector cost per dose at 2,000 L",1459,USD,2021,global,,,,1459,USD per dose,falling,,binding,E-6010,"At 50 L the same model gives ~17 doses at ~USD 19,127 per dose - a ~13x unit-cost penalty. Demand cannot be absorbed by running small campaigns."
G-062,lentiviral_gene_therapy,share of cell therapy COGS,lentiviral vector share of cell therapy manufacturing cost,40,percent,2021,global,,,,5000,USD per Kymriah dose,falling,,binding,E-6009,"Oxford Biomedica batches to Novartis reported at USD 1.5m each, under 300 patient doses per batch."
G-070,shared_input,plasmid DNA,industry average plasmid lead time,10,months,2022,global,90,10,,,,flat,1.06,binding,E-6008;E-6064,Above 12 months to access GMP plasmid capacity per 2025 commentary; 3-5 months of actual GMP production. Source for the 10-month figure is a 2022 company press release with no cited origin - treat as dated and single-source.
G-071,shared_input,plasmid DNA downstream,agarose chromatography resin capacity addition,150,USD million,2025,global,,,,,,expanding,,binding,E-6051,Purolite plant; downstream purification still described as the primary bottleneck after it came online. Moderna's new UK/AU/CA plants alone absorb hundreds of GMP plasmid batches annually.
G-080,mrna_lnp,drug substance capacity,line utilization versus nameplate,16,percent,2026,global,16,,,,,falling,6.0,slack,E-6017;E-6068,"Sources state advanced mRNA lines run at 'a fraction of nameplate'; no numeric utilization is published. The 16% is an assumption entered to make the derivation explicit, not an observation."
G-081,mrna_lnp,ionizable lipid IP,"immediate settlement payment, Arbutus/Genevant v Moderna",950,USD million,2026,US,,,,,,rising,,binding,E-6052,"Plus a further USD 1.3bn provided for. The binding mRNA-LNP constraint is the cost of freedom to operate on the ionizable lipid, not reactor time."
G-082,mrna_lnp,ionizable lipid IP,Alnylam cationic lipid suits resolved on non-infringement,0,USD paid by Moderna,2025,US,,,,,,falling,,slack,E-6053,"Federal Circuit for Moderna 4 Jun 2025, settled 15 Sep 2025 with no payment; Pfizer non-infringement judgment 30 Jul 2025. The claim-construction of 'cationic lipid' is outcome-determinative, so FTO risk is narrower than the Arbutus outcome alone suggests."
G-083,mrna_lnp,lung delivery tolerability,VX-522 inhaled CFTR mRNA-LNP terminated,1,programme terminated,2026,US,,,,,,flat,,binding,E-6048,"Persistent lung inflammation attributed to the LNP; efficacy never assessed. Tolerability, not manufacturability, ended the programme."
G-090,sirna_aso,oligonucleotide API,cGMP synthesis capacity at the largest single site,3.0,mol,2017,US,12,,,,,expanding,8.0,slack,E-6018;E-6067,"Nitto Avecia Milford, described at the time as the largest oligonucleotide site in the world. Figure is dated; used as a scale anchor, not a current-capacity estimate."
G-091,sirna_aso,oligonucleotide API,Agilent nucleic-acid manufacturing expansion,725,USD million,2025,US,,,,,,expanding,,slack,E-6018,Customer shipments from the expansion begin 2026. Clinical-tier oligo demand is grams to low kilograms and is not utilization-limited; the constrained tier is commercial multi-hundred-kilogram siRNA supply.
G-100,vaccine,contract manufacturing,vaccine contract manufacturing market size,3.90,USD billion,2025,global,,,,,,expanding,,unknown,E-6055,Rising to USD 4.33bn in 2026. No installed dose capacity or utilization figure with a public methodology was located; global vaccine capacity is documented as poorly defined and inconsistently measured.
G-101,vaccine,fill-finish availability,CDMO consolidation tightening sterile fill-finish availability,1,qualitative,2026,global,,,,,,tightening,1.12,near_binding,E-6055;E-6066,Late-stage vaccine sponsors reported facing sterile line capacity constraints. Adjective-level claim; no utilization number published.
G-110,shared_input,aseptic fill-finish,time to build and qualify a new aseptic line,2.5,years,2025,global,85,,,,,expanding,1.12,near_binding,E-6019;E-6066,"2-3 years typical, over 5 for complex formats. Utilization of 85 is an assumption under the stated proxy rule, not an observation - no fill-finish utilization percentage is published anywhere located."
G-111,shared_input,aseptic fill-finish,disclosed CDMO capital investment announcements,24.86,USD billion,2025,global,,,,,,expanding,,near_binding,E-6055,"About three-quarters flowed to US facilities, reflecting reshoring policy. Capital is not the constraint; the 3-year construction lag and format non-fungibility are."
G-120,all_modalities,CRL deficiency composition,published CRLs citing quality or manufacturing issues,74,percent,2025,US,,,,,,rising,,near_binding,E-6022;E-6074,"150 of 202 CRLs published July 2025 for applications issued 2020-2024. Decisive caveat: every application in that cohort was later approved, so the figure measures delay, not prevention."
G-121,all_modalities,CRL deficiency composition,facility plus quality/CMC share of all CRL deficiency citations,29.1,percent,2025,US,,,,,,rising,,near_binding,E-6023,Exceeds clinical safety (13.4%) and efficacy (10.9%) combined.
G-122,all_modalities,CRL cohort completeness,CRLs released for pending or withdrawn applications,89,letters,2025,US,,,,,,rising,,unknown,E-6024,"Second batch, September 2025. This is the correct denominator for 'how often does manufacturing stop an approval', and no source located has decomposed it by deficiency type."
G-123,all_modalities,non-approval causation,share of marketing application non-approvals attributable to CMC,20,percent,2025,US,,,,,,flat,,near_binding,E-6027,CMC is also the second most common reason for oncology IND clinical holds after clinical considerations. Denominator undisclosed - single secondary source.
G-124,all_modalities,platform designation,FDA platform technology designations granted,2,designations,2025,US,,,,,,rising,,slack,E-6028,"First to Sarepta (AAVrh74) June 2025, revoked about a month later after three deaths; second to Krystal Biotech (HSV-1) October 2025. Practical throughput effect to date is approximately zero."
G-125,all_modalities,CGT CMC flexibility,FDA states no requirement to manufacture three PPQ lots,3,lots (explicitly not required),2026,US,,,,,,loosening,,slack,E-6029,January 2026 announcement also covers lighter comparability for minor development changes and revisable BLA release specifications. Covington notes it does not change underlying legal requirements.
G-126,all_modalities,comparability,risk-based comparability framework for CGT manufacturing changes,1,guidance,2023,US,,,,,,loosening,,near_binding,E-6030,"Every manufacturing change requires a risk assessment; for CGT the process defines the product, so comparability is materially harder than for mAbs and is the main reason CGT process improvements are not adopted mid-development."
G-130,all_modalities,IND demand,commercial IND submissions received by CDER,1139,INDs,2024,US,,,,,,rising,,unknown,E-6031,"Plus 716 research INDs, total 1,855 receipts. Excludes biosimilar, expanded access and unknown INDs."
G-131,all_modalities,IND demand,active cell and gene therapy INDs at CBER OTP,2500,INDs,2024,US,,,,,,rising,,unknown,E-6032,"About 1,300 of them gene therapy INDs. This is a stock, not an annual flow; dividing by a ~7-year active life implies roughly 350 new CGT INDs per year."
G-132,all_modalities,saturation ordering,IND-volume multiple at which the first sub-capacity saturates,1.06,x current volume,2026,global,,,,,,flat,1.06,binding,E-6070,"GMP plasmid DNA and lentiviral vector bind first, then aseptic fill-finish (1.12x), then autologous CAR-T slots and ADC conjugation (1.19x), then AAV suites (1.5-1.9x). Spread to the loosest (small molecule, 10x) is 9.4x."
G-133,all_modalities,elasticity (M2),approvals response to a 10% manufacturing improvement,0.05,ratio,2026,global,,,,,,flat,,slack,E-6075,"System-wide elasticity ~0.05, an order of magnitude below what a true system constraint would show. Within autologous CAR-T, elasticity on patients treated approaches 1.0."
G-140,all_modalities,delivery - hepatic vs extrahepatic,tumour-to-liver delivery ratio in humans,0.00025,ratio,2026,global,,,,,,flat,,binding,E-6072,"0.01 %ID/g human tumour against a conservative 40 %ID to liver. Roughly 4,000-fold. This ratio is the quantitative statement of why hepatic indications reached market first."
G-141,all_modalities,delivery - solid tumour,human solid tumour antibody uptake,0.01,%ID/g,2024,global,,,,,,flat,,binding,E-6037;E-6076,"Versus ~30 %ID/g in mouse xenografts, a ~3,000-fold difference driven principally by body-mass scaling. Unchanged over the decade - improvement rate on the transport metric is 0-fold."
G-142,all_modalities,delivery - BBB,"brain uptake with TfR1 shuttle, mouse",2.5,%ID/g brain,2017,global,,,,,,improving,,slack,E-6039;E-6073,"About 80-fold over the unmodified parent antibody, implying an unshuttled baseline near 0.03 %ID/g."
G-143,all_modalities,delivery - BBB,"brain exposure increase with TfR1 shuttle, primate",18,fold (upper of 4-18),2023,global,,,,,,improving,,slack,E-6040;E-6073,Attenuated roughly 5-20x relative to the mouse figure but clinically confirmed: 91% of participants below 24 centiloids at 28 weeks at 3.6 mg/kg with ARIA-E under 5%.
G-144,all_modalities,delivery - BBB,first approval of a receptor-mediated-transcytosis brain delivery platform product,1,approval,2026,US,,,,,,improving,,slack,E-6041,"Tividenofusp alfa (AVLAYAH), accelerated approval 25 March 2026 for neurologic manifestations of Hunter syndrome."
G-145,all_modalities,delivery - BBB device route,incremental amyloid SUVR reduction from focused ultrasound BBB opening,32,percent,2024,US,,,,,,improving,,near_binding,E-6042,In FUS-treated regions versus antibody alone over 26 weeks; preclinical work showed a 5-6 fold antibody concentration increase. Adjunctive and device-bound; does not scale to chronic systemic dosing.
G-146,all_modalities,delivery - AAV CNS capsids,"transfer of murine capsid gain to primates, non-conserved-receptor selections",100,percent failure,2026,global,,,,,,improving,,near_binding,E-6043;E-6071,"PHP.B/PHP.eB depend on murine-restricted LY6A and fail in BALB/c, NHP and human; MyoAAV diminished in NHP; LK03 shows the mirror-image failure. The fix - selecting on conserved receptors CA-IV and ALPL - is a methodology change, not a physical barrier."
G-147,all_modalities,delivery - kidney and adipose conjugates,target knockdown in NHP adipose tissue,96,percent,2026,global,,,,,,improving,,slack,E-6046,"Plus up to 80% kidney proximal tubule knockdown from rodent through NHP. Company press release, assay undisclosed - low provenance, no clinical confirmation."
G-148,all_modalities,delivery - immune cells in vivo,first-in-human dosing of CD8-targeted LNP delivering CAR mRNA,1,programme,2025,AU,,,,,,improving,,slack,E-6049,"Capstan CPTX2309; NHP two-dose cycle produced deep B-cell depletion with naive B-cell repopulation. If it holds, it removes the autologous manufacturing constraint entirely rather than relieving it."
G-149,all_modalities,delivery - extrahepatic receptor availability,extrahepatic receptor-ligand systems matching GalNAc-ASGPR efficiency and recyclability,0,systems,2026,global,,,,,,flat,,binding,E-6047,Reviews state none exists; critically low endosomal escape and tissue-specific barriers remain limiting.
