item_id,category,metric,value,unit,phase,therapeutic_area,modality,region,sample_desc,period,trend_direction,mitigation_tech,measured_effect_size,effect_confidence_basis,regulatory_acceptance,evidence_ids,notes
F-050,fragmentation,patients ineligible when a trial was available,21.5,percent,all,oncology,all,US,same meta-analysis,2019,NA,,,,NA,E-5032,95% CI 10.9-34.6
F-051,fragmentation,patients enrolled,8.1,percent,all,oncology,all,US,same meta-analysis,2019,NA,,,,NA,E-5032,95% CI 6.3-10.0; academic 15.9% vs community 7.0% (p<0.001)
F-052,fragmentation,share of non-enrolment attributable to patient decision,16.1,percent of non-enrollers,all,oncology,all,US,derived from the Unger decomposition,2019,NA,,,,NA,"E-5074,E-5033","60.5% fail at availability, 23.4% at eligibility, 16.1% at patient decision. When offered, patients consent ~55% of the time"
F-053,mitigation,cumulative duration penalty of sequential two-group trials vs one platform trial,311.9,percent increase,II-III,oncology (STAMPEDE-anchored),all,global,"simulation, 10 interventions, 5,000 iterations; expert survey 16/146 responded (11%)",2022,NA,master protocol / platform trial,+311.9% cumulative duration and +57.5% total cost for the sequential alternative; platform setup cost +391.1%,simulation with low-response-rate expert-elicited inputs; NOT an observed head-to-head comparison,accepted,E-5034,TRIAL-LEVEL effect. Programme-level saving depends on having 10 candidates ready for the same platform at the same time; a platform that saves time per arm does not shorten a single sponsor's programme
F-054,mitigation,patients per site per month,0.875,patients/site/month,II-III,oncology (glioblastoma),mixed,"global (3 countries, 133 sites)","GBM AGILE NCT03970447, 2,000+ screened against a 2,250 target",2019-2025,NA,adaptive platform trial,sponsor states 3-4x the accrual rate of traditional GBM trials,"sponsor-reported, comparator rate not independently specified; note 0.875 is only ~2x the 0.4 median of E-5003",accepted,"E-5035,E-5003",the sponsor's 3-4x claim is not reproducible from the public comparator; against the industry phase III median of 0.4 the observed multiple is ~2.2x
F-055,mitigation,time from initiation to practice-changing result,100,days,III,infectious disease (COVID-19),repurposed small molecule,UK,"RECOVERY, >10,000 UK inpatients randomised in ~2 months",2020,NA,pragmatic platform trial embedded in routine care,">10,000 randomised in ~2 months; dexamethasone result in 100 days","observed, but under pandemic conditions with a captive inpatient population and national care-pathway integration",accepted,E-5036,"EXTERNAL VALIDITY LIMIT: the enabling conditions (single-payer system, universal disease incidence, near-zero protocol burden) do not generalise to oncology or rare disease"
F-056,mitigation,FDA approvals with pivotal external control,45,approvals,II-III,"haematology 49%, GI/IEM 22%, endocrine 13%, neurology 9%",mixed incl. enzyme replacement and gene therapy,US,FDA approvals 2000-2019,2000-2019,rising,external / synthetic control arm,"45 approvals over 20 years, i.e. ~2.25/year; ~1 in 3 first-time orphan approvals",systematic review of FDA decisions,case_by_case,E-5037,"80% rare disease, 87% objective endpoints; sources retrospective natural history 44%, baseline control 33%, published data 11%, prior study 11%"
F-057,mitigation,FDA guidance status for externally controlled trials,draft guidance issued,categorical,all,all,all,US,FDA CDER/CBER guidance,2023-02,improving,external / synthetic control arm,not quantified,regulatory document,case_by_case,E-5038,"bias is the stated central validity threat; acceptance remains conditional on disease rarity, endpoint objectivity and comparability"
F-058,mitigation,documented FDA refusals turning on external-control evidence,4,cases,II-III,"gene therapy, neuromuscular, oncology","gene therapy, cell therapy, oncolytic virus, antibody",US,REGENXBIO Hunter syndrome; Capricor deramiocel (CRL Jul 2025); Replimune RP1 (CRL); Incyte retifanlimab (negative ODAC),2021-2025,NA,external / synthetic control arm,4 identified refusals; not an exhaustive census,company disclosures and regulatory trade reporting,rejected,E-5039,"THE REJECTIONS ARE THE INFORMATIVE PART: comparability and attributability of effect are the recurring failure modes, and they bite hardest exactly in the rare/fragmented indications where external controls are most wanted"
F-059,mitigation,share of FDA approvals involving an RWD external control arm,42.5,percent,all,rare disease and oncology,all,US,ISPOR 2025 conference poster; denominator and inclusion rules not published,2024,rising,external / synthetic control arm,5-7% (2020) to 40-45% (2024),"conference poster, not peer reviewed, methodology undisclosed",case_by_case,E-5040,"LOW-EVIDENCE: this rate is an order of magnitude above the 2.25 approvals/year implied by the peer-reviewed 2000-2019 census (E-5037); the discrepancy is most likely a broader inclusion rule counting any supportive RWD, and the figure should not be used as an acceptance rate"
F-060,mitigation,EMA qualification of prognostic covariate adjustment,qualified,categorical,II-III,all with continuous outcomes,all,EU,EMA CHMP novel methodologies qualification opinion,2022-09,improving,AI digital twins / prognostic covariate adjustment (PROCOVA),power or precision gain; magnitude depends on the prognostic score's correlation with outcome,regulatory qualification opinion; scope restricted to continuous outcomes in randomised trials,qualified_opinion,E-5041,MECHANISM: variance reduction via a prognostic covariate. It shrinks the control arm's required size; it does NOT remove the control arm and cannot help time-to-event or binary primary endpoints under the qualified scope
F-061,mitigation,sample-size reduction from PROCOVA-MMRM,15.3,percent (maximum in one case study),II-III,not specified,all,global,single longitudinal case study,2024,NA,AI digital twins / prognostic covariate adjustment,up to 15.3% of participants removable at equal inference,"method-developer authored preprint, single case study; vendor conflict of interest applies",qualified_opinion,E-5042,"REALISTIC BOUND: a 10-20% control-arm reduction is a second-order effect on system throughput, not an order-of-magnitude change; it also does nothing for screening burden"
F-062,mitigation,decentralised trials counted per year,1450,trials,all,all,all,global,GlobalData proprietary DCT tracker,2024,rising after a 2022 dip,decentralised / hybrid trials,"2021 20-25% of studies, 2022 40-45%, -9% activity in 2022, +17% in 2023, +5.5% in 2024","vendor database, element-tagging methodology unpublished",accepted,E-5043,RETRENCHMENT IS REAL AND ELEMENT-SPECIFIC: ePRO/eCOA/eConsent and home visits slowed 31% in 2022 and remote BP/glucose monitoring declined from 2021
F-063,mitigation,DCTs reporting recruitment improvement,11,of 13 trials,all,mixed,all,global,13 decentralised trials in the published literature,2025 review,NA,decentralised / hybrid trials,"11/13 recruitment, 7/13 retention, 6/13 greater demographic heterogeneity",narrative review of self-reported outcomes against historical comparators; no randomised head-to-head,accepted,E-5044,publication bias is the obvious hazard: DCTs that underperformed are unlikely to be written up
F-064,mitigation,expected net present value of decentralisation,39,million USD (phase 3),II-III,all,all,global,Tufts CSDD model with sponsor and technology-vendor data contributions,2022,NA,decentralised / hybrid trials,$10M return on $2M (phase 2); $39M on $3M (phase 3),"modelled eNPV, inputs partly vendor-supplied; conflict of interest applies",accepted,E-5046,not a measured effect; recorded so the S4 downgrade can be applied
F-065,mitigation,share of trial-innovation articles containing empirical performance data,6,percent,all,all,all,global,"16,500+ articles published since 2022",2022-2025,NA,all trial-operations innovations,94% of the literature contains no measurement,Tufts CSDD literature review,NA,E-5045,THE BASE RATE FOR THIS WHOLE CATEGORY: mitigation-technology claims are overwhelmingly promissory rather than measured
F-066,mitigation,AI prescreening throughput and yield,98348,patients screened,all,oncology,all,US,29 trials at one institution since September 2022,2022-2026,NA,AI trial matching (real-time CDM prescreening),"10-fold reduction in chart-review workload; screening time 3.1 to 1.8 min/chart (-41%); 94% retrospective / 88% prospective accuracy; 825 eligible, 117 enrolled, consent 9-37%",observational single-institution deployment; no concurrent randomised manual-screening control; accrual-rate change vs a counterfactual is NOT measured,NA,E-5047,the only assignment-relevant number is 117 enrolments over ~3.5 years across 29 trials; AI reduced the cost of screening but the binding limit remained the supply of matching open slots
F-067,mitigation,AI trial-matching accuracy (F1),0.8246,F1,all,oncology (solid tumours),all,US,"3,804 consecutive patients, 12-month prospective evaluation, academic-community network",2024,NA,AI trial matching (neuro-symbolic multi-agent + knowledge graph),F1 0.8246 (95% CI 0.81-0.83); sensitivity 0.8375; specificity 0.8359; screening 120 to 30 min/patient; GPT-4 zero-shot F1 0.47,"prospective, oncologist-adjudicated, but the endpoint is matching accuracy and NOT enrolment; no downstream enrolment counts reported",NA,E-5048,"representative of the field: AI matching literature measures matching, not accrual. Largest demographic F1 gap ~7 points (White vs Black patients)"
F-068,system_throughput,commercial IND receipts,852,INDs,pre-phase-I,all,drugs and non-biosimilar biologics,US,FDA CDER calendar-year receipts,2018,baseline,,,,NA,E-5050,"plus 742 research INDs, total 1,594"
F-069,system_throughput,commercial IND receipts,1139,INDs,pre-phase-I,all,drugs and non-biosimilar biologics,US,FDA CDER calendar-year receipts,2024,rising,,,,NA,"E-5050,E-5061","plus 716 research INDs, total 1,855; plus 15 biosimilar INDs. CAGR 2018-2024 = 4.96%/yr"
F-070,system_throughput,INDs with activity,12935,INDs,all clinical,all,drugs and non-biosimilar biologics,US,FDA CDER,2020,baseline,,,,NA,E-5049,
F-071,system_throughput,INDs with activity,15124,INDs,all clinical,all,drugs and non-biosimilar biologics,US,"FDA CDER (9,932 commercial + 5,192 research)",2025,rising,,,,NA,"E-5049,E-5062","2021=13,810; 2022=14,268; 2023=14,622; 2024=14,870. CAGR 2020-2025 = 3.18%/yr"
F-072,system_throughput,interventional trials with a US site,7673,trials,all,all,all,US,"AACT download of 493,116 trials, inclusion-filtered",2023,NA,,,,NA,E-5051,"35.8% industry funded, 16.9% NIH; median enrolment 76 (industry), 90 (NIH)"
F-073,system_throughput,annual industry phase III participant throughput,289129,participants/year,III,all,all drug,global,completed industry phase III/II-III drug trials on ClinicalTrials.gov,2016-2019,declining,,,,NA,"E-5064,E-5006","completion-year basis, so it lags the enrolment year by the trial duration"
F-074,system_throughput,CAGR of industry phase III participant throughput,-0.92,percent per year,III,all,all drug,global,"1,245,175 (2008-2011) to 1,156,515 (2016-2019)",2008-2019,declining,,,,NA,"E-5063,E-5006",CORE FINDING FOR Q3: the patient throughput of the industry phase III system did not grow at all over twelve years
F-075,system_throughput,gap between candidate-flow growth and patient-throughput growth,5.88,percentage points per year,all,all,all,US filings vs global enrolment,derived from two overlapping but non-identical series,2008-2024,widening,,,,NA,"E-5070,E-5061,E-5063","indicative, not a within-sample difference; absorbed historically by more sites per trial, longer recruitment periods and more accrual failures"
F-076,system_throughput,CAGR of the FDA-regulated investigator workforce,-3.97,percent per year,all,all,all,US and global FDA-regulated,"17,941 (1999) to 9,387 (2015) unique Form 1572 filers",1999-2015,declining,,,,NA,"E-5072,E-5018",the human substrate of clinical capacity shrank while candidate flow grew
F-077,system_throughput,years to reach 2x IND flow at historical growth,14.3,years,pre-phase-I,all,all,US,extrapolation at the observed 4.96%/yr commercial IND receipt CAGR,from 2024,NA,,,,NA,E-5068,"5x = 33.2 yr, 10x = 47.6 yr; at the 3.18%/yr INDs-with-activity rate: 22.1 / 51.4 / 73.6 yr"
F-078,system_throughput,additional annual phase III participants required at 2x IND flow,289129,participants/year,III,all,all,global,constant trials-per-IND and patients-per-trial assumption,scenario,NA,,,,NA,E-5069,"5x requires +1,156,515/yr; 10x requires +2,602,159/yr. For scale, one low-quality estimate puts total global trial enrolment near 1.2M/yr (E-5052), so the 5x increment alone approaches the entire current global trial population"
F-079,system_throughput,additional continuously enrolling site-slots required at 2x IND flow,60235,site-slots,III,all,all,global,additional participants divided by 4.8 participants per site-year (0.4/site/month),scenario,NA,,,,NA,"E-5069,E-5003","5x = 240,941 site-slots; 10x = 542,116 site-slots. Against ~9,387 unique annual Form 1572 filers, the 2x requirement alone is ~6.4x the existing annual investigator count (denominators differ; see E-5075)"
F-080,system_throughput,global clinical trial participants,1200000,participants,all,all,all,global (45% North America),statistics aggregator; underlying database and inclusion rules undisclosed,2022,NA,,,,NA,E-5052,"LOW EVIDENCE: origin not traceable in three hops; used only as an order-of-magnitude scale reference, never as a load-bearing input"
F-081,system_throughput,share of terminations attributable to accrual failure,39,percent,all,all,all,global,joins the 905-termination CTG sample with the 787-trial NCTN sample,2000-2014,NA,,,,NA,"E-5076,E-5007,E-5009",establishes that B3 has a probability-of-success component (trials destroyed) and not only a time component (trials delayed)
