asset_or_claim,company,modality,target,claim_type,claimed_metric,claimed_value,unit,stage_reached,status,outcome,independently_verified,comparator_baseline,sample_n,axis_tested,evidence_ids,notes
"AI-prioritised virtual screening hit rate, kinase scaffold hopping",case study reported in Niazi review,small molecule,kinase,validation_rate,hit rate,22.5,%,in vitro,completed,45 of 200 compounds active,partial,none stated,200 compounds,neither,E-2075,A second case gave 35% of 200 for an antiviral target.
Pooled de novo binder experimental success rate,Overath/Rygaard et al. (DigBioLab meta-analysis),de novo protein binder,15 diverse targets,validation_rate,experimental success rate,11.6,%,in vitro,completed,"11.6% of 3,766 designs bound; per-target precision 0.1-1.0",yes (independent pooled meta-analysis),across published RFdiffusion/hallucination/BindCraft datasets,"3,766 designs, 15 targets",neither,E-2020;E-2074,THE key number for de novo design. Severe class imbalance and target-to-target variability.
RFdiffusion low success rate for functional detection binders,independent bioRxiv study,de novo protein binder,biochemical detection targets,validation_rate,success rate,low (not retrievable),%,in vitro,completed,reported low success for functional binders,yes (independent),RFdiffusion published rates,not retrievable - see unresolved.csv,neither,E-2021,Numeric values could not be retrieved; bioRxiv returned HTTP 429 on repeated attempts. See UNRESOLVED row.
Independent replication of RFdiffusion IL-7Ra binders,Adaptyv Bio,de novo protein binder,IL-7Ra,validation_rate,replication concordance,84.4,%,in vitro,completed,27 of 32 reported binders confirmed; best 40 nM,yes (independent contract lab),the original paper's own hit designations,42 constructs,neither,E-2022,Validates reported hits but does not test the denominator of designs attempted.
Chai-2 zero-shot de novo antibody hit rate,Chai Discovery,antibody / nanobody,52 diverse targets,validation_rate,per-design hit rate,16,%,in vitro,completed,>=1 hit for 50% of 52 targets with <=20 designs each; 68% miniprotein success,no (developer technical report),developer's own prior-method baseline; claims >100x,"52 targets, <=20 designs each",neither,E-2023;E-2073;E-2074,Company self-report. No independent replication located.
RFantibody requires screening thousands of designs,Institute for Protein Design (Bennett/Watson/Baker),antibody VHH/scFv,influenza HA; C. difficile TcdB,validation_rate,best affinity,78,nM,in vitro,completed,smallest successful set 95 VHHs; cryo-EM backbone RMSD 1.45 A,"yes (peer-reviewed, Nature)",prior de novo antibody methods,thousands of designs,neither,E-2024,Atomic accuracy achieved; throughput cost remains high.
Spread between independent and developer-reported design success,derived,de novo protein binder,n/a,validation_rate,ratio of reported success rates,5.9,ratio,n/a,n/a,68% developer self-report vs 11.6% independent pooled,n/a,11.6% pooled independent meta-analysis,"3,766 vs developer cohort",neither,E-2074,Who measures determines the number by nearly 6x.
Rentosertib (ISM001-055) TNIK inhibitor,Insilico Medicine,small molecule,TNIK,census,Phase IIa FVC change at 60 mg,98.4,mL,Phase III,active,Phase IIa positive (+98.4 mL vs -20.3 mL placebo); Phase III started 2026-07-07,yes for Phase IIa (Nature Medicine peer-reviewed),placebo arm within trial,71 (Ph IIa); 320 planned (Ph III),both,E-2028;E-2029;E-2030;E-2031,Only asset with both AI-derived target and AI-designed molecule to reach Phase III. China-only to date.
ISM6331 pan-TEAD inhibitor,Insilico Medicine,small molecule,TEAD,census,phase reached,1,phase,Phase I,active,FDA Fast Track 2026-07-29,no,none,not reported,neither,E-2064,
GB-0895 long-acting anti-TSLP antibody,Generate Biomedicines,antibody,TSLP,census,phase reached,3,phase,Phase III,active,Phase 3 SOLAIRIA-1/-2 recruiting; ~89-day half-life in Phase 1,no (company release),first-generation anti-TSLP agents,"~1,600 planned across Phase 3",duration,E-2026,"Highest-phase AI-engineered biologic located. AI role is antibody engineering, not de novo design of a novel target."
GB-4362 MMAE neutraliser,Generate Biomedicines,biologic,MMAE,census,phase reached,1,phase,Phase I,active,FDA Fast Track; first cohort dosed,no,none,not reported,neither,E-2027,
GB-5267 IL-18 armoured MUC16 CAR-T,Generate Biomedicines,cell therapy,MUC16,census,phase reached,1,phase,Phase I,active,recruiting; first dosing expected 2026,no,none,not reported,neither,E-2027,
REC-4881 MEK1/2 inhibitor,Recursion,small molecule,MEK1/2,census,polyp burden reduction,43-53,%,Phase II,active,Phase 2 data; FDA engagement update guided 2H2026,no,none stated,not reported,neither,E-2067,
REC-617 (formerly GTAEXS617) CDK7 inhibitor,Recursion (ex-Exscientia),small molecule,CDK7,census,phase reached,2,phase,Phase I/II,active,ELUCIDATE ongoing; combination data guided to 1H2027,no,none,not reported,neither,E-2068;E-2067,Survivor of the Exscientia pipeline cut.
REC-1245 RBM39 degrader,Recursion,small molecule (degrader),RBM39,census,phase reached,1,phase,Phase I,active,no DLTs to date,no,none,not reported,neither,E-2067,
REC-4539 LSD1 inhibitor,Recursion,small molecule,LSD1,census,phase reached,1,phase,Phase I,active,new trial April 2026,no,none,not reported,neither,E-2067,
SGR-1505 MALT1 inhibitor,Schrodinger,small molecule,MALT1,census,overall response rate,22,%,Phase I,active,responses in CLL and Waldenstrom; company seeking a partner,no,none,not reported,neither,E-2042,Being partnered out - a soft de-prioritisation.
SGR-3515 Wee1/Myt1 inhibitor,Schrodinger,small molecule,Wee1/Myt1,census,phase reached,1,phase,Phase I,active,initial data guided 1H2026; company seeking a partner,no,none,not reported,neither,E-2042,
IAM1363 selective HER2 inhibitor,Iambic Therapeutics,small molecule,HER2,census,partial response rate,28,%,Phase I/1b,active,28% PR at >=960 mg QD,no (company/ESMO presentation),no control arm,18 evaluable,neither,E-2045,
Zovegalisib (RLY-2608) mutant-selective PI3Ka inhibitor,Relay Therapeutics,small molecule,PI3K-alpha,census,median PFS,11.0,months,Phase III dose selected,active,clinically meaningful PFS in PI3Ka-mutated HR+/HER2- breast cancer,no (company release),cross-trial comparison only,not reported,neither,E-2046,Physics-plus-ML (motion-based) discovery rather than generative chemistry.
ABS-201 anti-PRLR antibody,Absci,antibody,prolactin receptor,census,phase reached,1,phase,Phase I/2a,active,"positive interim, no SAEs; PoC data guided 2H2026",no (company 8-K),none,not reported,neither,E-2047,
ABS-101 anti-TL1A antibody,Absci,antibody,TL1A,census,phase reached,1,phase,Phase I,discontinued,de-prioritised in IBD despite favourable safety; partner being sought,no,first-generation anti-TL1A competitors,not reported,neither,E-2047,"Counts as a de-prioritisation, not an efficacy failure."
SIGX1094 TEAD inhibitor,XtalPi / Signet Therapeutics,small molecule,TEAD,census,phase reached,1,phase,Phase I,active,FDA Orphan Drug and Fast Track,no,none,not reported,neither,E-2064,
DSP-0038 5-HT1A agonist / 5-HT2A antagonist,Sumitomo Pharma / Exscientia,small molecule,5-HT1A / 5-HT2A,census,phase reached,1,phase,Phase I,active,still in Phase 1 as of 2026; no discontinuation recorded,no,none,not reported,neither,E-2069,Entered clinic 2021; ~5 years in Phase 1 - evidence against clinical-stage acceleration.
No named clinical asset; zero registered trials,Isomorphic Labs,n/a,undisclosed oncology,census,registered studies on ClinicalTrials.gov,0,count,preclinical,unknown,first-in-human timing slipped from end-2025 to end-2026,"yes (public registry query, 2026-08-18)",n/a,0,duration,E-2048;E-2049,Founded 2021; >4 years to zero registered trials despite AlphaFold3 and USD 600M raised.
No clinical asset identified,Xaira Therapeutics,n/a,n/a,census,clinical assets,0,count,preclinical,unknown,launched April 2024 with >USD 1B,yes (absence in public record),n/a,0,neither,E-2050,
No clinical asset; >150 targets addressed preclinically,AI Proteins,de novo miniprotein,150+ targets,census,clinical assets,0,count,preclinical,unknown,BMS option deal up to USD 400M,no (company release),n/a,0,neither,E-2051,"De novo design has produced deals, not INDs."
No named clinical asset,Genesis Therapeutics,small molecule,undisclosed,census,clinical assets,0,count,preclinical,unknown,Gilead and Incyte discovery partnerships,yes (absence in public record),n/a,0,neither,E-2052,
No therapeutic clinical asset (model developer),Chai Discovery,antibody design platform,n/a,census,clinical assets,0,count,preclinical,unknown,Chai-2 technical report only,no,n/a,0,neither,E-2023;E-2073,
No therapeutic clinical asset (model developer),EvolutionaryScale,protein language model,n/a,census,clinical assets,0,count,preclinical,unknown,ESM3 released; no clinical pipeline located,yes (absence in public record),n/a,0,neither,E-2019,"ESM-family models are tools, not pipelines."
No therapeutic clinical asset (platform/services),Cradle Bio,protein engineering platform,n/a,census,clinical assets,0,count,preclinical,unknown,protein engineering software; no clinical pipeline located,yes (absence in public record),n/a,0,neither,E-2052,See unresolved.csv - no company-specific pipeline disclosure located.
De novo protein design: cumulative clinical entries,Institute for Protein Design / Baker lab ecosystem,de novo protein,n/a,census,de novo designed proteins that entered the clinic,1,count,Phase I,discontinued,NL-201 only; discontinued 2022. RFdiffusion/ProteinMPNN/RFantibody outputs: zero clinical entries located,yes (absence in public record),n/a,1,PoS,E-2025;E-2020;E-2024,"Nine years of de novo design methods, one clinical entry, zero survivors."
DSP-1181 5-HT1A agonist,Exscientia / Sumitomo Pharma,small molecule,5-HT1A,failure,phase reached,1,phase,Phase I,discontinued,"discontinued 2022 after Phase I; one review cites preclinical QT prolongation, others a favourable safety profile",no,none,not reported,PoS,E-2032;E-2008,"The flagship '12 months to clinic' asset. Target was heavily precedented (5-HT1A), so speed is not evidence of discovery compression."
EXS-21546 A2A receptor antagonist,Exscientia,small molecule,adenosine A2A receptor,failure,phase reached,1,phase,Phase 1/2,discontinued,terminated 2023; insufficient receptor coverage in the assumed therapeutic range; A2A target research stopped entirely,no,none,not reported,PoS,E-2033,Failure mode was PK/target-coverage - exactly a property AI property-prediction was supposed to optimise.
Pipeline prioritisation to two programmes,Exscientia,n/a,n/a,failure,programmes retained,2,count,corporate,discontinued,"majority of the pipeline discontinued or partnered out, Oct 2023",no,n/a,n/a,neither,E-2034,
BEN-2293 topical pan-Trk inhibitor,BenevolentAI,small molecule (topical),pan-Trk,failure,phase reached,2,phase,Phase IIa,discontinued,"missed both co-primary endpoints (EASI and NRS) in the ITT population, April 2023","yes (registered trial, top-line disclosure)",placebo arm,not reported,PoS,E-2035,Safe but not efficacious - the canonical Phase II efficacy failure AI did not prevent.
Corporate restructuring and delisting,BenevolentAI,n/a,n/a,failure,headcount reduction,180,employees,corporate,discontinued,~180 layoffs May 2023; delisted from Euronext Amsterdam 13 March 2025 and merged into Osaka Holdings,yes (Euronext filing),n/a,n/a,neither,E-2036;E-2037,One of the two original AI-drug-discovery public companies no longer exists as a listed entity.
REC-994 (cerebral cavernous malformation),Recursion,small molecule,superoxide scavenging,failure,phase reached,2,phase,Phase II,discontinued,met primary safety endpoint but showed no meaningful clinical benefit; long-term extension failed to confirm earlier signals,yes (registered trial),placebo arm,not reported,PoS,E-2038;E-2039,
REC-2282 (neurofibromatosis type 2),Recursion,small molecule,HDAC,failure,phase reached,2,phase,Phase II,discontinued,discontinued May 2025 on totality of data,no,none,not reported,PoS,E-2038,
REC-3964 (C. difficile infection),Recursion,small molecule,C. difficile toxin,failure,phase reached,2,phase,Phase II,discontinued,de-prioritised May 2025; out-licensing explored,no,none,not reported,PoS,E-2038,
20% workforce reduction,Recursion,n/a,n/a,failure,headcount reduction,20,%,corporate,discontinued,cash-runway extension after the Exscientia merger,no,n/a,n/a,neither,E-2040,
SGR-2921 CDC7 inhibitor,Schrodinger,small molecule,CDC7,failure,treatment-related deaths,2,patients,Phase I,discontinued,programme abandoned after two treatment-related deaths in dose escalation,yes (company disclosure of registered trial),none,Phase 1 dose escalation,PoS,E-2041,Clinical toxicity that physics-based/ML design did not predict - directly relevant to bottleneck B8.
VRG50635 PIKfyve inhibitor (ALS),Verge Genomics,small molecule,PIKfyve,failure,phase reached,1,phase,Phase 1b,discontinued,"missed primary efficacy endpoint late 2025; plasma NfL rose rather than fell; ~1/3 of patients could not tolerate the lowest dose; trial terminated, company dropped its only clinical asset",yes (registry termination record),within-trial,not reported,PoS,E-2043;E-2044,"Most diagnostic failure in the set: the AI contribution was TARGET NOMINATION, and the target failed. Company attributes it to patient heterogeneity and biomarker-to-brain translation."
NL-201 de novo IL-2/IL-15 mimetic,Neoleukin Therapeutics,de novo protein,IL-2Rbeta/gamma,failure,phase reached,1,phase,Phase I,discontinued,discontinued Nov 2022; preliminary data suggested insufficient differentiation from other IL-2 agents; workforce cut,no (company release),other IL-2 pathway agents,not reported,PoS,E-2025,"First fully de novo designed protein in humans; failed on differentiation, not on folding or binding."
ABS-101 de-prioritisation,Absci,antibody,TL1A,failure,phase reached,1,phase,Phase I,discontinued,de-prioritised in IBD after favourable safety; partner sought,no,first-generation anti-TL1A,not reported,neither,E-2047,
Isomorphic Labs first-in-human timing slippage,Isomorphic Labs,n/a,undisclosed,failure,schedule slippage,1,year,preclinical,unknown,end-2025 guidance moved to end-2026; zero registered trials as of 2026-08-18,yes (registry query),own prior guidance,0 trials,duration,E-2048;E-2049,"Recorded as a duration-claim failure, not a clinical failure."
12 months from project start to Phase I (DSP-1181),Exscientia,small molecule,5-HT1A,duration,design-to-clinic time,12,months,Phase I,discontinued,asset later discontinued after Phase I,no (company-issued),stated 4-6 year traditional norm; no matched cohort,1 programme,duration,E-2008;E-2032,Target 5-HT1A is heavily precedented. A fast candidate against a precedented target is weak evidence of discovery compression.
18 months target identification to preclinical candidate (rentosertib),Insilico Medicine,small molecule,TNIK,duration,target-to-candidate time,18,months,Phase III,active,asset reached Phase III; strongest duration+progression combination in the dataset,"no (company-issued; the Nature Medicine paper reports the trial, not the timeline)",stated 4-5 year norm; no matched cohort,1 programme,duration,E-2008;E-2031;E-2028,"TNIK was a novel target for IPF, which strengthens this data point relative to DSP-1181."
USD 2.6M preclinical programme budget (rentosertib),Insilico Medicine,small molecule,TNIK,duration,preclinical out-of-pocket cost,2.6,USD million,Phase III,active,company self-report,no,none; cost of capital not included,1 programme,duration,E-2031,"Out-of-pocket only; not risk-adjusted, no COC."
"12-18 months to candidate, 60-200 molecules synthesised per programme",Insilico Medicine,small molecule,multiple,duration,molecules synthesised per programme,60-200,molecules,platform-wide,active,company-issued platform claim,no,industry norms cited without source,company internal programmes,duration,E-2030,
Median 6.5 years from company founding to first Phase 1,ASCO/JCO 2026 landscape analysis,n/a,n/a,duration,founding-to-Phase-1 time,6.5,years,Phase I,n/a,organisation-level duration shows no compression,"partial (conference abstract, retrieved via secondary source)",not stated,"63 AI-native companies, 117 candidates",duration,E-2054;E-2070,THE counterweight to per-programme duration claims. Per-programme savings do not propagate to time-to-clinic.
Discovery-stage time saved per programme,derived,n/a,n/a,duration,years saved,2.5-4.5,years,discovery,n/a,not observable at organisation level (median founding-to-Phase-1 still 6.5 years),no,stated 4-6 year traditional target-to-candidate,company claims for 2-3 programmes,duration,E-2070,Derived; see derivation in E-2070.
"FDA CDER new IND receipts, CY2024",FDA CDER,all,n/a,census,commercial IND receipts,1139,count,n/a,n/a,"research INDs 716; total 1,855",yes (regulator),n/a,"US CDER, CY2024",neither,E-2056,Denominator for the base-rate calculation. Excludes CBER.
Cumulative AI-enabled clinical candidates,ASCO/JCO 2026 via secondary census,all,n/a,census,AI-enabled clinical candidates,117,count,n/a,n/a,"across 63 companies; 60 completed Phase 1, 8 completed Phase 2, 0 approvals",partial,n/a,"117 candidates, 63 companies",neither,E-2054;E-2055,"Definition mixes fully AI-discovered assets with AI-assisted programmes, inflating the count."
AI-derived share of annual US commercial INDs,derived,all,n/a,census,share of commercial INDs,1.03-3.42,%,n/a,n/a,AI-derived candidates are low-single-digit % of INDs,n/a,total CDER commercial IND receipts,"117 AI candidates / 1,139 commercial INDs",neither,E-2057,Derived; formula in E-2057.
Ceiling on system-level approval gain from AI-derived candidates,derived,all,n/a,PoS,relative increase in annual approvals,0.8-2.7,% relative,n/a,n/a,"even at the most AI-favourable published PoS uplift, system output moves ~1-3% relative",n/a,current approval base rate,"share 1.03-3.42%, PoS 10%->18%",PoS,E-2058,Derived; formula in E-2058. Falls to 0.6-1.9% if only the Phase I advantage is real; to 0 if it is selection bias.
Statistical power of the AI vs conventional Phase II comparison,derived,all,n/a,PoS,required n per arm,4126,molecules,n/a,n/a,actual AI Phase II sample ~8; comparison is ~500x underpowered,n/a,conventional Phase II 37%,8 AI assets have completed Phase 2,PoS,E-2065,Derived; formula in E-2065. This is the basis for the NO EVIDENCE verdict on axis (ii).
Confidence interval on the AI Phase I success rate,derived,all,n/a,PoS,Wilson 95% CI at n=24,66.1-94.3,%,n/a,n/a,CI is wide at every plausible denominator; at n=8 it is 50.4-96.9%,n/a,industry Phase I baseline stated as 50-65%,n = 8/10/24/73 scenarios,PoS,E-2066,Derived; formula in E-2066.
Zero FDA approvals of AI-discovered drugs,field-wide,all,n/a,PoS,FDA approvals,0,count,n/a,n/a,zero as of mid-2026 after ~USD 8.9B of investment in AI-native discovery,yes (absence in FDA approval record),n/a,global,PoS,E-2053;E-2061,The terminal outcome measure remains empty.
Clinical attrition unchanged at ~90%,MDPI 2026 narrative review,all,n/a,PoS,clinical attrition rate,90,%,n/a,n/a,unchanged despite >USD 100B of AI investment 2022-2026,yes (peer-reviewed review),historical attrition,"industry-wide, 2017-2026",PoS,E-2061;E-2062,
AI-native developers disclose less in vivo testing in compound patents,Freilich & Rai (Science 2025; Nat Biotechnol 2026),small molecule,n/a,census,qualitative,less in vivo evidence disclosed,n/a,patenting,n/a,may push claims ahead of evidence and dampen downstream R&D,"yes (peer-reviewed, independent)",traditional developers' compound patents,patent corpus,neither,E-2059;E-2060,Bears on bottleneck B12 and on whether fast patenting is being mistaken for fast discovery.
