tech_id,bottleneck_id,tech_name,principle,trl,trl_basis,developers,decisive_milestone,remaining_hard_problems,commercialization_from,commercialization_to,commercialization_reasoning,failure_scenario,attacks_axis,depends_on,modality_scope,evidence_ids,notes
T-011,B2,"Humanised-immune-system mice (HIS mice, HLA-transgenic models)","Engraft human haematopoietic stem cells or PBMCs into immunodeficient mice, optionally with human HLA transgenes, so that a human immune system - rather than a mouse one - reacts to a human-targeted biologic in a whole-organism setting.",7,"Available as a routine catalogue service from multiple contract research organisations and used in IND-enabling packages, which is operational-environment demonstration; not 9 because no regulatory qualification exists and agencies do not accept these data as a substitute for required studies. [E-8085]",The Jackson Laboratory; Taconic Biosciences; Crown Bioscience; genOway; academic humanised-mouse cores,A regulator accepts HIS-mouse cytokine release or immunogenicity data in place of a non-human primate study for a T-cell engager or CAR construct in a cleared IND; checkable by 2030 from published regulatory precedent or sponsor disclosure.,"Human myeloid and complement reconstitution is incomplete in most models; human T cells are educated on mouse thymic epithelium in the common models, distorting the repertoire; graft-versus-host disease limits study duration.",2016,2026,"Already commercially available; the range describes existing operational use, and the open question is regulatory acceptance rather than technical availability.","The models overpredict cytokine release for some constructs and underpredict for others without a rule that distinguishes the two, so agencies continue to require the primate study and the mouse work becomes an additional cost line.",P,,"biologics, T-cell engagers, cell therapy, vaccines",E-8085,"high TRL but regulatory acceptance, not technology, is the binding constraint - depends on B5"
T-012,B2,"NAM regulatory acceptance framework as an institutional technology (FDA NAM guidance, animal-testing roadmap, FDA Modernization Act 3.0)","Change the evidentiary rule rather than the assay: define context of use, human biological relevance, technical characterisation and fit-for-purpose as the four axes on which a non-animal method is judged, and remove statutory language that can be read as mandating animal data, so that a sponsor can rationally invest in human-relevant methods.",6,"Draft guidance issued March 2026, an agency roadmap published April 2025, and statutory reform passed both chambers; the framework is demonstrated in a relevant setting but no product has been approved on a NAM-only nonclinical package. [E-8001][E-8002][E-8004]",FDA CDER and CBER; U.S. Congress; NIH NCATS; EU Reference Laboratory for alternatives to animal testing; Animal Wellness Action and allied advocacy coalitions,A new molecular entity is approved where at least one pivotal nonclinical safety conclusion rests on NAM data with no corresponding animal study in the submission; checkable by 2032 from the approval package review documents.,"There is no validated human reference outcome set against which NAMs can be benchmarked - the historical animal data were never validated against human outcomes either, so the field lacks a ground truth to calibrate against. Liability and precedent conservatism mean sponsors will run the animal study regardless until a first mover survives.",2026,2032,"Guidance is in draft now; final guidance typically follows one to three years, and first sponsor reliance follows the first precedent, which requires a sponsor willing to absorb the review risk.","The framework is adopted in form and ignored in practice: sponsors submit NAM data as supportive alongside a complete conventional package, so nonclinical cost rises and no timeline shortens.",T;P,B5,all modalities,E-8001;E-8002;E-8004,institutional rather than laboratory technology; rated on the TRL analogue scale
T-013,B3,LLM-based EHR prescreening and trial matching (TRIAGE-class systems),"Parse unstructured clinical notes, pathology and genomic reports against a protocol's eligibility criteria and return a cited eligibility determination, so that the chart-review step performed by clinical research coordinators is done in seconds instead of hours.",7,"Validated against multi-year health-system EHR data and published in a peer-reviewed clinical informatics journal, and deployed in operational prescreening workflows; not higher because a randomised evaluation found accuracy gains without efficiency gains. [E-8034][E-8035]",Academic medical centre informatics groups; Mayo Clinic and Memorial Sloan Kettering research informatics; Trially; Deep 6 AI; Paradigm; large EHR vendors,"A multi-site prospective randomised comparison reports shortened time from protocol activation to last-patient-in, not merely improved chart-abstraction accuracy; checkable by 2029.","The randomised evidence to date shows the tool improves accuracy while leaving throughput unchanged, which indicates the binding constraint is elsewhere - site staff availability, physician referral behaviour and patient willingness. Criteria written in prose that clinicians themselves interpret inconsistently cannot be resolved by better parsing.",2024,2027,"Already commercially deployed; the window reflects the period over which enterprise adoption completes, not a technical milestone.","The technology works exactly as advertised and total enrollment does not move, because chart review was never the rate-limiting step; sponsors pay for prescreening software and enrollment timelines stay flat.",T,,all modalities; oncology-weighted deployment,E-8034;E-8035;E-8091,"LOW-VALUE FLAG: strong candidate for making an already-fast step faster; randomised data show no efficiency gain [E-8035], and 59 percent of sites lose patients before screening [E-8091]"
T-014,B3,Registry-based and embedded pragmatic randomised trials,"Randomise inside an existing disease or procedure registry that already captures the outcome of interest, so that consent, randomisation and follow-up ride on infrastructure that exists for clinical care, eliminating dedicated case report forms, monitoring visits and separate follow-up.",8,Executed at scale in real regulatory-relevant settings - TASTE and STRESS are completed trials with published economics showing registry designs at roughly a third of explanatory trial cost; proven in operations for specific settings. [E-8038][E-8092],Uppsala Clinical Research Center and SWEDEHEART; Duke Clinical Research Institute; NIH Collaboratory; national cardiovascular and transplant registries; FDA and EMA methods groups,"A registry-based randomised trial serves as the primary evidence for a US or EU label expansion of a new molecular entity, not merely a comparative-effectiveness question for approved products; checkable by 2030 from approval documents.","Registry endpoints are collected for care, not for regulatory adjudication - definitions drift, adjudication is absent, and blinding is usually impossible. The design only exists where a comprehensive national registry exists, which excludes most of the US and most disease areas.",2014,2026,"Already in operation since the TASTE trial; the constraint is the availability of registries with regulatory-grade endpoint capture, not technology maturity.","The cost advantage collapses once a regulator demands source-data verification and independent endpoint adjudication, at which point the registry trial converges on conventional trial cost and loses its only advantage.",T;C,B15,"small molecule and device-adjacent; cardiovascular, transplant, critical care",E-8038;E-8092,depends on endpoint measurability (B15)
T-015,B3,"Decentralised and hybrid trial operations (home nursing, direct-to-patient supply, televisits)","Move assessments and drug delivery to the participant's home and keep only what genuinely requires a clinic at the site, removing travel burden as a reason for non-participation and non-retention, and widening the geographic catchment beyond academic centres.",7,"Widely deployed as hybrid elements and supported by vendor networks, but only about 6 percent of the decentralised-trial literature contains empirical performance data and roughly 1 percent of industry trial starts used decentralised solutions in the assessed period, so operational demonstration is real but thin. [E-8036][E-8037]",IQVIA; Fortrea and other clinical research organisations; Science 37; Medable; home health nursing networks; sponsors running hybrid designs,A preregistered head-to-head comparison of a decentralised and a conventional arm of the same protocol reports enrollment rate and 12-month retention with the analysis plan published in advance; checkable by 2029.,"The published performance claims come from sponsor-selected matched comparisons whose matching methodology is not disclosed, so the effect size is not independently establishable. Home assessment introduces measurement heterogeneity that some endpoints cannot absorb, and investigator oversight obligations under GCP were written for site-based conduct.",2021,2028,"Deployment is already underway; the window covers the period to routine hybrid default, gated by ICH E6(R3) Annex 2 finalisation rather than by any technical development.","Decentralisation shifts burden from the participant to the site coordinator, who is the actually scarce resource; sites decline decentralised protocols, and adoption stalls at the elements sponsors can run without site cooperation.",T;C,B5;B13,all modalities; chronic disease and rare disease strongest,E-8036;E-8037;E-8048,
T-016,B3,Federated real-world data networks for feasibility and site selection,"Query harmonised EHR and claims data across many health systems without moving patient-level data, to count how many eligible patients actually exist at each candidate site before the protocol is finalised, replacing site-reported feasibility estimates that systematically overpromise.",8,Commercial federated networks are in routine third-party operational use for feasibility and cohort discovery; not 9 because outcome evidence that network-informed site selection reduces non-enrolling sites is vendor-reported rather than independent. [E-8036][E-8049],TriNetX; Aetion; Datavant; OHDSI/OMOP community; national health data spaces in the EU,An independent published analysis shows sponsors using federated feasibility data have a materially lower share of non-enrolling sites than matched sponsors who do not; checkable by 2029.,"Coded EHR data undercount the eligibility criteria that actually drive screen failure - performance status, prior line of therapy, washout - so counts of apparently eligible patients overstate the enrollable pool. Data recency and coverage vary by network member.",2018,2026,"Already commercial and widely licensed; the remaining question is measured benefit, not availability.","Feasibility counts improve while enrollment does not, because the constraint was the site's staffed capacity to run one more protocol rather than the existence of patients.",T;C,B10,all modalities,E-8036;E-8049,
T-017,B3,Community and rural site network expansion with protocol-burden reduction,"Add trained research capacity where patients already receive care, and simultaneously cut the per-visit procedure count that makes a protocol unaffordable for a non-academic site, so that trial capacity scales with the care system rather than with a fixed set of academic centres.",8,"Community research networks operate at national scale, but with over 80 percent of US research sites reporting staffing shortages and demand projected to more than triple by 2032, capacity is demonstrably below need. [E-8039][E-8091]",National Cancer Institute Community Oncology Research Program; Association of Community Cancer Centers research institute; national practice networks; sponsor site-network partnerships,"The share of industry-sponsored oncology trials with a majority of enrollment from non-academic sites rises measurably, reported in an independent audit; checkable by 2031.","The binding input is trained coordinators and sub-investigators, whose supply is set by wage competition against clinical care roles, not by any technology. Protocol burden reduction requires sponsors to give up secondary data collection they believe they need.",2026,2035,"Workforce pipelines take years to fill and reimbursement for research infrastructure in community settings is not resolved, so meaningful capacity growth is a decade-scale process.",Sites are added and remain non-enrolling because each new site receives the same over-specified protocol; the network grows on paper and enrollment concentration at a few sites is unchanged.,T;C,B13;B16,all modalities,E-8039;E-8091,the labour constraint here is B13; this is not primarily a technology
T-018,B4,"Master protocols: basket, umbrella and platform trials with shared controls","Run one overarching protocol with a common control arm and shared infrastructure across many sub-populations or many candidate agents, so that each additional question costs an increment rather than a whole trial, and control patients are reused instead of re-randomised for each programme.",8,"Executed at scale in oncology and infectious disease for a decade, with FDA issuing revised draft guidance on master protocols; proven in operations, not 9 because platform designs remain rare outside oncology and pandemic settings. [E-8041]",National Cancer Institute (NCI-MATCH lineage); Friends of Cancer Research; Berry Consultants; UK RECOVERY investigators; EU-PEARL,A platform trial outside oncology and outside pandemic infectious disease supports a first approval in a chronic disease indication; checkable by 2031.,"Shared control arms require agreement among competing sponsors on standard of care, data access and publication, which is a governance problem, not a statistical one. Long-running platforms suffer drift in standard of care that undermines comparability across cohorts entered years apart.",2014,2026,Already operational; the expansion question is governance and sponsor willingness rather than method readiness.,"Sponsors decline to place assets in a shared platform because the comparative readout is unflattering and uncontrollable, so platforms persist only where a public funder pays for them.",T;C,,"all modalities; oncology, infectious disease, neurology",E-8041,
T-019,B4,Bayesian information borrowing and external control arms,"Formally borrow strength across related sub-populations or from external data sources through a hierarchical prior calibrated so that borrowing shrinks when the sources disagree, so that a trial in a fragmented population needs fewer newly randomised patients to reach a defensible conclusion.",6,"FDA issued a 2026 draft guidance on Bayesian methods and a revised master protocol draft guidance; methods are validated in simulation and used in specific accepted submissions, but the guidance is draft and general acceptance is not established. [E-8041]",FDA CDER Office of Biostatistics; Berry Consultants; academic biostatistics groups; EMA methodology working parties; sponsors of rare disease programmes,A pivotal approval where the primary analysis prespecifies Bayesian borrowing from an external control and the agency accepts it without requiring a concurrent randomised comparison; checkable by 2030 from approval review documents.,"Borrowing is only valid when the external population is exchangeable with the trial population, and exchangeability cannot be verified from the data being borrowed. Operating characteristics degrade sharply under unmeasured confounding, and type I error inflation under prior-data conflict is design-specific rather than generic.",2027,2032,"Draft guidance now, finalisation typically one to three years, and precedent-setting approvals follow; the sequence puts routine acceptance around the turn of the decade.","Agencies accept borrowing only in settings where a randomised trial was infeasible anyway, so the method never reduces the size of the trials that dominate development cost.",T;C,B10;B5,"rare disease, oncology, gene therapy",E-8041;E-8049,
T-020,B4,Population genomic newborn screening to build trial-ready rare disease cohorts,"Sequence newborns against a panel of actionable early-onset conditions so that patients are identified pre-symptomatically and in known numbers, converting a scattered, late-diagnosed, heterogeneous population into an identified cohort that can be approached before irreversible pathology accrues.",6,"GUARDIAN has sequenced over 13,000 newborns against 460+ conditions with published first results, and the Generation Study targets 100,000 genomes; validated in a relevant environment at research scale, not implemented as standard care. [E-8043][E-8044]",GeneDx and Columbia University (GUARDIAN); Genomics England and NHS England (Generation Study); state newborn screening programmes; BeginNGS consortium,A therapeutic trial enrolls a majority of its participants from a genomic newborn screening programme and reports a pre-symptomatic treatment benefit; checkable by 2032.,"Penetrance for many screened variants is unknown, so pre-symptomatic identification generates patients who may never develop disease and cannot ethically be randomised to an intervention; consent frameworks for population sequencing of infants remain contested; and health systems have no pathway to fund follow-up for thousands of uncertain findings.",2028,2036,Research cohorts are enrolling now; transition to routine public health screening requires national policy decisions and cost-effectiveness evidence that will take most of a decade.,"Screening finds patients faster than therapies exist for them, generating a diagnosed-but-untreatable population and a political backlash that narrows the permitted panel back toward the conventional list.",T;P,B11,"gene therapy, ASO, enzyme replacement; rare disease only",E-8043;E-8044,the only technology in this catalogue that increases the identified patient pool rather than reallocating it
T-021,B4,Individualised n-of-1 antisense oligonucleotide pathway with a regulatory platform template,"Treat the chemistry class as the regulated platform and the specific sequence as a variable, with FDA guidance defining a reduced, standardised IND package for a product intended for one or two individuals, so that ultra-fragmented populations become addressable without a conventional development programme per patient.",7,"FDA has issued both clinical and CMC guidance for individualised ASO INDs and multiple academic sponsor-investigator programmes operate under them; demonstrated in the operational regulatory environment, not 9 because there is no approved product and no reimbursement pathway. [E-8042]",n-Lorem Foundation; Boston Children's Hospital (Yu laboratory); FDA CDER; Ionis Pharmaceuticals; academic sponsor-investigator networks,A sustainable funding and reimbursement mechanism carries at least fifty individualised ASO treatments per year in the US with published outcome tracking; checkable by 2031 from programme reports.,"There is no way to establish efficacy in a single patient without a validated within-patient biomarker, so most treatments remain uninterpretable. Long-term safety of bespoke sequences cannot be characterised. The CMC burden per patient does not fall with volume because each sequence is a new product.",2023,2030,"The regulatory pathway exists now; the binding constraint is philanthropic and payer funding, which determines whether volume grows past a few dozen patients per year.","The model stays confined to charitably funded single-digit annual volumes because no payer will reimburse a therapy that cannot demonstrate efficacy, and it never becomes a general answer to population fragmentation.",T;P,B11;B15,antisense oligonucleotide; extendable in principle to siRNA and gene editing,E-8042,
T-022,B5,Agency-internal generative AI for review workflow (FDA Elsa and successors),"Give reviewers a model that summarises submissions, compares labels, drafts adverse-event summaries and locates precedent, so that reviewer hours shift from document retrieval to scientific judgement and review capacity rises without headcount.",6,"Deployed agency-wide ahead of schedule and in active use, but reported to produce incorrect safety outputs and irrelevant guidance requiring manual rework, so it is demonstrated in a relevant environment rather than proven in operations. [E-8045]",FDA (Office of the Commissioner and CDER); federal cloud vendors; EMA and other agencies running parallel initiatives,"FDA publishes review-cycle metrics showing a sustained reduction in median first-cycle review time or in review-related information requests attributable to AI tooling, with the measurement method disclosed; checkable by 2029.","Regulatory review is an accountability function: a reviewer must be able to defend a conclusion, and a model that is confidently wrong on safety data transfers verification burden rather than removing it. There is no accepted method for auditing a generative summary against a 100,000-page submission.",2025,2029,The tool is deployed now; the window is the time needed for verification workflows to mature enough that reviewers rely on outputs rather than re-checking them.,"Net reviewer time rises because every output must be independently verified, and the tool is quietly relegated to low-stakes administrative drafting.",T,,all modalities,E-8045,"B5 elasticity point is 0.4, among the lowest in the matrix"
